,date,open,high,low,close,volume
0,2020-10-13,0.007787,0.0078662,0.0076613,0.0076805,707736.0
1,2020-10-14,0.0076791,0.0077885,0.0075415,0.007631,2760287.0
2,2020-10-15,0.0076534,0.0077419,0.0075285,0.0076931,3614802.0
3,2020-10-16,0.0077228,0.0082984,0.0074746,0.0076551,7920008.0
4,2020-10-17,0.0076618,0.0079453,0.0074581,0.0078242,4112057.0
5,2020-10-18,0.007809,0.0080306,0.0075614,0.0077615,4202520.0
6,2020-10-19,0.0078159,0.0079973,0.0076917,0.0077913,7729309.0
7,2020-10-20,0.0078224,0.0078465,0.0075189,0.0076485,4608314.0
8,2020-10-21,0.0076944,0.007762,0.00733,0.0075573,3930253.0
9,2020-10-22,0.0075313,0.0076294,0.0072697,0.0075889,3342278.0
10,2020-10-23,0.0075,0.0075551,0.0072425,0.0073429,1605781.0
11,2020-10-24,0.0073382,0.0076308,0.007273,0.0074095,2659948.0
12,2020-10-25,0.0075064,0.0076295,0.0071738,0.0072521,4054114.0
13,2020-10-26,0.0072666,0.0072695,0.006594,0.006896,6957327.0
14,2020-10-27,0.0069517,0.0069626,0.0062609,0.0066802,4524062.0
15,2020-10-28,0.0067091,0.0067295,0.006347,0.0065656,3127962.0
16,2020-10-29,0.0065842,0.0066219,0.0062483,0.0064292,1753467.0
17,2020-10-30,0.0064096,0.0064417,0.0056001,0.0058892,3067358.0
18,2020-10-31,0.0058762,0.0060762,0.0056563,0.0059208,3803987.0
19,2020-11-01,0.0059116,0.0059534,0.0058281,0.0059061,3955766.0
20,2020-11-02,0.0058984,0.0061928,0.0051194,0.0055078,5435705.0
21,2020-11-03,0.0055301,0.0055442,0.0050165,0.0052533,3195013.0
22,2020-11-04,0.005249,0.0053055,0.0046708,0.0051607,3616793.0
23,2020-11-05,0.0051421,0.0054571,0.0039056,0.0039908,13023607.0
24,2020-11-06,0.0039903,0.0042355,0.0033695,0.0034314,15626285.0
25,2020-11-07,0.0034567,0.007365,0.0032544,0.0055833,12816358.0
26,2020-11-08,0.005521,0.0068405,0.0047055,0.005515,7805528.0
27,2020-11-09,0.005531,0.0056427,0.00443,0.0046942,7606129.0
28,2020-11-10,0.0046397,0.0064983,0.0039319,0.0050481,13483889.0
29,2020-11-11,0.0050352,0.0051708,0.004504,0.0045956,8811944.0
30,2020-11-12,0.0045947,0.0046679,0.0035,0.0037792,15194595.0
31,2020-11-13,0.0037745,0.0038692,0.0033287,0.0034727,13449191.0
32,2020-11-14,0.0034806,0.00585,0.0033002,0.0035376,17675307.0
33,2020-11-15,0.0035253,0.0036515,0.0033002,0.003428,12379306.0
34,2020-11-16,0.0034172,0.0034865,0.0032003,0.0032555,16906956.0
35,2020-11-17,0.00326,0.0033497,0.0029475,0.0030646,16068604.0
36,2020-11-18,0.0030739,0.0032319,0.0029,0.0029402,13819514.0
37,2020-11-19,0.0029444,0.0030913,0.002564,0.0027786,17497406.0
38,2020-11-20,0.0027756,0.0029308,0.0026698,0.0029101,6044911.0
39,2020-11-21,0.0029171,0.0032319,0.0027279,0.0031254,13561932.0
40,2020-11-22,0.0031213,0.0032319,0.0030589,0.0031887,9897901.0
41,2020-11-23,0.0032025,0.0032784,0.003,0.003115,13318129.0
42,2020-11-24,0.0031151,0.0045,0.0030008,0.0035584,19131540.0
43,2020-11-25,0.0035413,0.0041961,0.0031605,0.0034131,23976154.0
44,2020-11-26,0.0034241,0.0034797,0.003,0.0030571,13207167.0
45,2020-11-27,0.0030581,0.0031327,0.003,0.0030712,10654049.0
46,2020-11-28,0.0030588,0.0038373,0.0030195,0.0033015,16562888.0
47,2020-11-29,0.0033015,0.0033558,0.0031647,0.0031873,5385458.0
48,2020-11-30,0.0032137,0.0033973,0.0030453,0.0033552,8741148.0
49,2020-12-01,0.0033574,0.0033816,0.0030195,0.0032365,12842069.0
50,2020-12-02,0.0032346,0.0033522,0.003096,0.0033002,9390681.0
51,2020-12-03,0.0032964,0.0033468,0.0030272,0.0031317,14383673.0
52,2020-12-04,0.0031569,0.0032499,0.0030272,0.0030653,7477518.0
53,2020-12-05,0.0030776,0.0033387,0.0030272,0.0030451,10685756.0
54,2020-12-06,0.0030471,0.0033714,0.0030272,0.0032861,11985515.0
55,2020-12-07,0.0032854,0.0033815,0.0030588,0.0032815,7235633.0
56,2020-12-08,0.0032614,0.0034868,0.0032113,0.0033555,7910401.0
57,2020-12-09,0.0033363,0.0037578,0.0030659,0.0032026,9343057.0
58,2020-12-10,0.0032095,0.0036999,0.0031001,0.0032634,7946439.0
59,2020-12-11,0.0032671,0.0034352,0.0031264,0.0032653,13176227.0
60,2020-12-12,0.0032647,0.0034815,0.0032009,0.0033825,18420184.0
61,2020-12-13,0.0033835,0.003551,0.003267,0.0035202,18452947.0
62,2020-12-14,0.0034953,0.0037,0.0034027,0.0036499,30475287.0
63,2020-12-15,0.0036561,0.0049737,0.0035605,0.0047016,19242920.0
64,2020-12-16,0.0046866,0.0061947,0.0040001,0.0046081,11547950.0
65,2020-12-17,0.0045305,0.0047799,0.004151,0.0042677,14933293.0
66,2020-12-18,0.0042853,0.0043591,0.0039945,0.0043374,10326818.0
67,2020-12-19,0.0043474,0.005,0.0041941,0.0046957,13227345.0
68,2020-12-20,0.0046832,0.006,0.0043834,0.0058215,12848269.0
69,2020-12-21,0.0057216,0.006,0.0047269,0.0058222,11096280.0
70,2020-12-22,0.0057054,0.0065,0.0057054,0.0062762,1238499.0
71,2020-12-23,0.0063219,0.0065,0.0047789,0.0052585,491966.0
72,2020-12-24,0.0046703,0.0049495,0.00312,0.0036706,837879.0
73,2020-12-25,0.0036164,0.0036706,0.0010092,0.002105,2695188.0
74,2020-12-26,0.0021617,0.0023116,0.0016955,0.0018969,743906.0
75,2020-12-27,0.0018982,0.0024443,0.0016502,0.0020502,1102862.0
76,2020-12-28,0.0022228,0.0025579,0.0016004,0.001805,1637390.0
77,2020-12-29,0.001805,0.0021994,0.001805,0.0020671,588065.0
78,2020-12-30,0.0021692,0.0022276,0.0015,0.002037,1831273.0
79,2020-12-31,0.0017366,0.0020785,0.0017005,0.00176,42552.0
80,2021-01-01,0.0018612,0.002103,0.0017,0.0019431,307660.0
81,2021-01-02,0.0021028,0.0022227,0.0016911,0.0020085,163903.0
82,2021-01-03,0.0022194,0.0023989,0.0017,0.0018251,465265.0
83,2021-01-04,0.0018398,0.00198,0.0017035,0.0017301,608026.0
84,2021-01-05,0.0019935,0.0021001,0.001787,0.0020312,437804.0
85,2021-01-06,0.0017874,0.0021853,0.0017195,0.0021814,268733.0
86,2021-01-07,0.0019877,0.00229,0.00185,0.0020701,35062.0
87,2021-01-08,0.0020712,0.0022986,0.0017575,0.0017971,173710.0
88,2021-01-09,0.0017838,0.0020328,0.0017111,0.0018999,250053.0
89,2021-01-10,0.0018999,0.0023729,0.0017788,0.0022,871084.0
90,2021-01-11,0.0021455,0.0035864,0.0020279,0.0030359,709403.0
91,2021-01-12,0.0030363,0.0035799,0.0028576,0.0030912,227333.0
92,2021-01-13,0.0030101,0.0035047,0.0029528,0.00326,375677.0
93,2021-01-14,0.0032658,0.0032658,0.002766,0.00292,159731.0
94,2021-01-15,0.0029277,0.0033219,0.002766,0.0033215,345404.0
95,2021-01-16,0.0033498,0.0036421,0.0030281,0.0036063,120734.0
96,2021-01-17,0.0036425,0.0037368,0.0033677,0.0034763,572903.0
97,2021-01-18,0.0034763,0.0047514,0.0034762,0.004749,606057.0
98,2021-01-19,0.0047491,0.0048509,0.0041,0.0043278,635689.0
99,2021-01-20,0.0043,0.0044823,0.0037,0.0039314,767849.0
100,2021-01-21,0.0037096,0.0038623,0.0034805,0.0034805,36625.0
