,date,open,high,low,close,volume
0,2021-11-23,1.6601,1.8065,1.6055,1.7021,2612304.299999998
1,2021-12-14,0.9567,1.175,0.94,1.0906,2935497.3999999925
2,2021-12-15,1.0907,1.343,1.0626,1.2594,6815227.100000001
3,2021-12-16,1.2594,1.29,1.1304,1.1518,2092836.0999999994
4,2021-12-17,1.1518,1.1681,1.0754,1.1074,1298075.3000000014
5,2021-12-18,1.1124,1.1724,1.0635,1.1493,1256779.1000000013
6,2021-12-19,1.1512,1.1604,1.0683,1.0769,1398854.1999999986
7,2021-12-20,1.0789,1.0991,0.9871,1.0483,1777030.9000000055
8,2021-12-21,1.0476,1.1498,1.0237,1.1044,2065094.4999999902
9,2021-12-22,1.1,1.12,1.0702,1.0889,1328061.4999999977
10,2021-12-23,1.0875,1.1858,1.069,1.1094,1449535.7999999947
11,2021-12-24,1.1083,1.1641,1.1083,1.1181,1127528.4000000036
12,2021-12-25,1.12,1.131,1.09,1.1181,949276.0999999993
13,2021-12-26,1.1162,1.229,1.1,1.1705,1263933.5000000063
14,2021-12-27,1.1696,1.5196,1.162,1.3056,5505932.599999993
15,2021-12-28,1.3053,1.6203,1.2137,1.2569,12037574.600000147
16,2021-12-29,1.2569,1.37,1.25,1.2537,2481073.899999998
17,2021-12-30,1.2503,1.2562,1.174,1.203,1569857.3999999948
18,2021-12-31,1.2055,1.3,1.1876,1.2282,1194784.5999999978
19,2022-01-01,1.2259,1.455,1.18,1.2912,2502035.500000021
20,2022-01-02,1.2912,1.3219,1.23,1.265,1652411.2999999954
21,2022-01-03,1.2643,1.292,1.205,1.2437,839198.2999999967
22,2022-01-04,1.2419,1.2531,1.163,1.1858,1184056.8999999948
23,2022-01-05,1.1849,1.2044,1.0447,1.0959,1713330.5000000023
24,2022-01-06,1.0945,1.0994,1.0001,1.0704,1450251.4999999963
25,2022-01-07,1.0717,1.0749,0.9578,1.0067,2091789.3999999943
26,2022-01-08,1.0092,1.036,0.9052,0.9606,1532407.2999999984
27,2022-01-09,0.9552,1.0496,0.9505,0.9809,1298829.0999999978
28,2022-01-10,0.982,1.0593,0.9101,1.0255,1382389.1999999976
29,2022-01-11,1.0258,1.1349,0.9746,1.0246,2638068.7999999775
30,2022-01-12,1.0229,1.0924,1.0007,1.0716,873738.6999999963
31,2022-01-13,1.0722,1.0742,1.001,1.0137,679372.2999999964
32,2022-01-14,1.0229,1.0876,0.9611,1.0305,1181337.6999999995
33,2022-01-15,1.036,1.1065,1.0092,1.0855,865807.2000000001
34,2022-01-16,1.0841,1.1229,1.0341,1.0543,722846.1999999982
35,2022-01-17,1.0532,1.0535,0.99,1.0077,717299.0000000003
36,2022-01-18,1.0077,1.0202,0.9409,0.9593,461999.3000000009
37,2022-01-19,0.96,0.9839,0.92,0.9271,420867.2000000006
38,2022-01-20,0.9268,0.9789,0.8509,0.8682,813486.5999999968
39,2022-01-21,0.8606,0.87,0.6251,0.6747,3040692.399999998
40,2022-01-22,0.6788,0.7127,0.5543,0.5836,2159944.8000000063
41,2022-01-23,0.5851,0.6258,0.56,0.596,1745128.3999999948
42,2022-01-24,0.5938,0.62,0.4926,0.554,2487370.800000008
43,2022-01-25,0.5537,0.602,0.5248,0.5725,2014401.1000000024
44,2022-01-26,0.5716,0.6409,0.534,0.5576,2411387.4000000083
45,2022-01-27,0.558,0.61,0.4999,0.5781,2673116.2000000044
46,2022-01-28,0.5782,0.6497,0.5482,0.5887,3516697.000000002
47,2022-01-29,0.5887,0.615,0.5711,0.5917,1044343.3000000004
48,2022-01-30,0.5892,0.6358,0.58,0.5945,1199043.0999999936
49,2022-01-31,0.5956,0.6351,0.56,0.6166,934442.0999999982
50,2022-02-01,0.615,0.7542,0.6136,0.7231,3902554.000000013
51,2022-02-02,0.7222,0.7224,0.625,0.6281,1591099.8000000028
52,2022-02-03,0.6308,0.6338,0.61,0.6171,510365.99999999994
53,2022-02-04,0.6194,0.6886,0.6141,0.6776,659675.8999999997
54,2022-02-05,0.6768,0.8521,0.654,0.7727,2808422.600000016
55,2022-02-06,0.7725,0.86,0.7401,0.7752,2730965.3000000166
56,2022-02-07,0.773,0.8251,0.7508,0.7901,916334.0000000008
57,2022-02-08,0.7914,0.8047,0.728,0.7516,794150.0000000009
58,2022-02-09,0.7518,0.7898,0.7428,0.761,428827.9999999983
59,2022-02-10,0.7621,0.7621,0.6991,0.7205,632878.1999999963
60,2022-02-11,0.7217,0.739,0.6451,0.6537,625857.4999999997
61,2022-02-12,0.6567,0.6758,0.6383,0.6487,428485.1000000004
62,2022-02-13,0.6491,0.6555,0.6213,0.6296,345926.19999999873
63,2022-02-14,0.6282,0.6619,0.5984,0.6376,522895.6999999999
64,2022-02-15,0.6357,0.6802,0.624,0.6605,718989.6999999988
65,2022-02-16,0.6616,0.7146,0.6455,0.6989,785502.9999999966
66,2022-02-17,0.7,0.7,0.6151,0.6263,648695.3000000033
67,2022-02-18,0.6268,0.6405,0.5631,0.5682,508608.00000000146
68,2022-02-19,0.5701,0.604,0.5309,0.5471,806226.8
69,2022-02-20,0.5482,0.5562,0.4802,0.5079,1554240.499999992
70,2022-02-21,0.5092,0.5328,0.4371,0.4427,1279169.000000002
71,2022-02-22,0.4427,0.4891,0.406,0.4585,1926004.2999999954
72,2022-02-23,0.4574,0.4988,0.4336,0.4363,1122243.8999999927
73,2022-02-24,0.4372,0.4481,0.3536,0.4313,2093595.9000000057
74,2022-02-25,0.4323,0.4681,0.408,0.4635,1671706.199999994
75,2022-02-26,0.463,0.4835,0.4459,0.4599,488833.10000000003
76,2022-02-27,0.4611,0.4743,0.4322,0.4426,492723.40000000066
77,2022-02-28,0.4423,0.5143,0.4286,0.5007,876395.4999999986
78,2022-03-01,0.5004,0.5483,0.4698,0.5253,1539962.5000000012
79,2022-03-02,0.5247,0.6015,0.4937,0.5141,2650160.3000000045
80,2022-03-03,0.5137,0.5343,0.4806,0.4943,639404.1
81,2022-03-04,0.4993,0.5052,0.4455,0.4504,949066.4999999986
82,2022-03-05,0.4518,0.4632,0.44,0.459,233745.3000000003
83,2022-03-06,0.4598,0.5,0.422,0.4255,1067623.1000000003
84,2022-03-07,0.4244,0.4603,0.4073,0.4144,832956.5999999989
85,2022-03-08,0.4143,0.4281,0.4061,0.4206,595118.9000000017
86,2022-03-09,0.4205,0.4736,0.4163,0.4455,784657.1999999924
87,2022-03-10,0.4457,0.46,0.4062,0.4165,666163.7999999993
88,2022-03-11,0.4134,0.4228,0.4,0.4152,581334.7999999986
89,2022-03-12,0.415,0.4322,0.4025,0.4107,279732.1
90,2022-03-13,0.4119,0.4157,0.4,0.4013,296375.70000000007
91,2022-03-14,0.4014,0.4074,0.3582,0.3858,994530.9999999977
92,2022-03-15,0.3843,0.4032,0.3662,0.3755,1037445.8999999998
93,2022-03-16,0.3756,0.4587,0.3726,0.4194,1974095.0000000047
94,2022-03-17,0.4188,0.4237,0.395,0.4096,1114488.7999999993
95,2022-03-18,0.4107,0.4632,0.4011,0.4424,1290172.1999999976
96,2022-03-19,0.4422,0.475,0.424,0.4542,1418745.7999999973
97,2022-03-20,0.455,0.5239,0.4277,0.4472,1459532.3000000056
98,2022-03-21,0.4478,0.685,0.438,0.6232,5897042.400000036
99,2022-03-22,0.6215,0.9488,0.5583,0.758,30704365.700000327
100,2022-03-23,0.7579,0.8274,0.6514,0.7088,10109687.400000045
101,2022-03-24,0.7081,0.7148,0.66,0.6697,2940413.099999978
102,2022-03-25,0.6697,0.6951,0.608,0.6615,2713573.6000000085
103,2022-03-26,0.6614,0.7323,0.6345,0.6791,3737197.9000000213
104,2022-03-27,0.6751,0.7622,0.6504,0.7196,2340680.700000011
105,2022-03-28,0.7187,0.7907,0.6984,0.716,2076777.9999999993
106,2022-03-29,0.7148,0.7569,0.6855,0.6938,1433105.7999999912
107,2022-03-30,0.6945,0.7182,0.6646,0.6898,1069986.2000000018
108,2022-03-31,0.6894,0.7129,0.6478,0.6674,975089.3999999989
109,2022-04-01,0.668,0.7495,0.6512,0.6963,1481588.099999999
110,2022-04-02,0.6945,0.7922,0.6926,0.748,1325090.2999999968
111,2022-04-03,0.7433,0.817,0.7125,0.7269,2556989.4000000064
112,2022-04-04,0.7231,0.7452,0.6917,0.7032,725831.0000000036
113,2022-04-05,0.7014,0.75,0.7014,0.7228,1375361.999999997
114,2022-04-06,0.7229,0.7267,0.6437,0.6836,1023623.6999999988
115,2022-04-07,0.6785,0.681,0.6534,0.6639,500076.2999999999
116,2022-04-08,0.6642,0.7661,0.6616,0.7246,3246657.8000000133
117,2022-04-09,0.7227,0.7371,0.6891,0.7012,1092933.1999999976
118,2022-04-10,0.703,0.7235,0.691,0.6983,799624.0999999996
119,2022-04-11,0.6971,0.7002,0.5951,0.6102,1113338.9999999967
120,2022-04-12,0.6109,0.6486,0.565,0.6227,2044367.799999986
121,2022-04-13,0.6271,0.6483,0.58,0.6049,1462309.6000000078
122,2022-04-14,0.6057,0.6397,0.5497,0.5759,1510921.8999999969
123,2022-04-15,0.5759,0.605,0.5595,0.5653,859364.7000000027
124,2022-04-16,0.5655,0.5749,0.55,0.5691,508418.0999999995
125,2022-04-17,0.5634,0.6299,0.5385,0.5731,1646601.8999999857
126,2022-04-18,0.5699,0.572,0.5103,0.5505,1054138.0999999996
127,2022-04-19,0.5496,0.6268,0.5496,0.5999,1259793.199999998
128,2022-04-20,0.6024,0.6295,0.585,0.6061,607359.899999999
129,2022-04-21,0.6069,0.6239,0.5601,0.5613,657914.8000000013
130,2022-04-22,0.5599,0.5933,0.5512,0.5608,865615.1000000013
131,2022-04-23,0.5591,0.5698,0.5444,0.5499,323177.8
132,2022-04-24,0.5492,0.5671,0.5408,0.5434,243864.9999999997
133,2022-04-25,0.542,0.5437,0.4757,0.5175,991794.0000000028
134,2022-04-26,0.5171,0.5349,0.4552,0.4706,805844.8000000023
135,2022-04-27,0.4693,0.503,0.4401,0.4722,1006825.9000000019
136,2022-04-28,0.4749,0.4995,0.4532,0.4675,640580.7999999971
137,2022-04-29,0.4675,0.47,0.4208,0.4527,993547.1999999997
138,2022-04-30,0.4527,0.4527,0.393,0.4,1081809.1000000027
139,2022-05-01,0.4003,0.4462,0.3824,0.4024,1425663.7000000007
140,2022-05-02,0.4027,0.4271,0.395,0.4031,538469.5999999997
141,2022-05-03,0.4026,0.4531,0.3895,0.3925,1241816.5000000026
142,2022-05-04,0.3938,0.4588,0.3845,0.4415,1120450.0999999985
143,2022-05-05,0.4415,0.45,0.3683,0.3943,1118722.700000002
144,2022-05-06,0.3943,0.3953,0.35,0.3622,1204013.7000000004
145,2022-05-07,0.3636,0.3922,0.3519,0.3654,1501020.1999999974
146,2022-05-08,0.364,0.3648,0.3326,0.3396,874060.2000000009
147,2022-05-09,0.3415,0.3433,0.2699,0.2968,2405466.7000000044
148,2022-05-10,0.2968,0.3428,0.2811,0.3029,1945164.7000000002
149,2022-05-11,0.3019,0.3195,0.195,0.2263,3482891.799999985
150,2022-05-12,0.228,0.2494,0.1962,0.2134,2510769.199999995
151,2022-05-13,0.2135,0.2934,0.2098,0.2519,1495770.8999999964
152,2022-05-14,0.2522,0.2874,0.2515,0.2759,1069561.1000000017
153,2022-05-15,0.2764,0.3272,0.2627,0.3189,1353385.2999999975
154,2022-05-16,0.3173,0.334,0.2689,0.3018,1881342.400000002
155,2022-05-17,0.3017,0.3486,0.2905,0.346,2275551.1000000094
156,2022-05-18,0.3435,0.363,0.3003,0.3258,2509164.6000000136
157,2022-05-19,0.3235,0.3257,0.2852,0.3227,1261507.899999996
158,2022-05-20,0.3234,0.3599,0.2957,0.3103,1173904.7000000018
159,2022-05-21,0.3084,0.3394,0.3016,0.3224,496991.30000000034
