,date,open,high,low,close,volume
0,2021-05-06,139.0,149.999,106.833,109.422,113581.19499999878
1,2021-05-07,109.224,116.572,100.0,104.688,162371.0410000014
2,2021-05-08,104.898,127.0,103.167,123.891,216560.46799999638
3,2021-05-09,123.407,154.8,117.781,150.0,370416.2379999887
4,2021-05-10,149.977,169.25,109.282,123.699,413033.06100000656
5,2021-05-11,123.419,128.0,113.669,121.151,204117.23599999904
6,2021-05-12,121.174,133.913,98.569,101.911,175323.52000000153
7,2021-05-13,100.531,110.205,91.883,100.759,124311.17899999971
8,2021-05-14,101.272,116.414,101.078,107.266,99841.75800000006
9,2021-05-15,107.019,109.301,91.0,93.378,83303.22099999964
10,2021-05-16,93.662,104.0,85.982,94.177,80905.49499999978
11,2021-05-17,94.177,94.566,81.145,85.216,94332.85299999984
12,2021-05-18,85.547,94.039,83.584,89.51,92580.94399999976
13,2021-05-19,89.468,93.118,38.891,55.548,183079.57800000068
14,2021-05-20,54.96,74.1,49.376,67.388,153295.79099999994
15,2021-05-21,68.043,73.327,47.691,56.384,148360.59800000014
16,2021-05-22,55.995,58.0,49.182,51.2,72247.894
17,2021-05-23,51.011,53.5,33.574,42.043,131130.74099999954
18,2021-05-24,42.311,54.339,41.5,52.369,110319.1780000001
19,2021-05-25,52.622,56.906,46.68,52.791,108920.05699999964
20,2021-05-26,52.665,81.603,51.312,71.365,255347.43000000037
21,2021-05-27,71.496,74.286,61.401,64.695,169404.7949999991
22,2021-05-28,64.839,66.816,53.548,56.027,156185.31799999904
23,2021-05-29,55.786,59.354,48.2,52.449,97420.43499999963
24,2021-05-30,52.507,61.132,48.698,60.458,68440.39599999988
25,2021-05-31,60.145,63.775,53.584,62.86,92916.90599999946
26,2021-06-01,62.671,63.842,57.316,59.095,55181.4380000001
27,2021-06-02,59.244,68.445,57.915,64.406,102460.35899999998
28,2021-06-03,64.275,75.75,62.28,70.348,126228.99699999939
29,2021-06-04,70.699,70.775,58.995,63.2,86008.09799999738
30,2021-06-05,63.491,69.299,59.315,60.719,75252.05699999863
31,2021-06-06,60.719,65.887,60.55,64.42,32272.272999999124
32,2021-06-07,64.388,66.999,54.641,56.037,59851.032
33,2021-06-08,55.944,57.254,48.628,54.706,98111.85899999927
34,2021-06-09,54.735,57.097,50.591,56.173,53670.76599999905
35,2021-06-10,56.289,57.017,49.625,49.794,47452.43400000015
36,2021-06-11,49.872,51.773,44.187,48.114,93606.63700000024
37,2021-06-12,48.04,48.421,42.599,44.869,78222.6039999996
38,2021-06-13,44.992,49.876,43.765,49.095,41740.0890000012
39,2021-06-14,49.189,52.064,47.62,50.927,45281.514000000156
40,2021-06-15,51.151,53.364,48.762,50.043,42199.513999999464
41,2021-06-16,49.882,52.034,45.826,46.358,51632.321999999614
42,2021-06-17,46.398,49.018,46.073,47.735,30134.426999999887
43,2021-06-18,47.684,49.01,43.206,44.434,50160.2309999998
44,2021-06-19,44.374,44.785,42.165,42.237,30385.78900000006
45,2021-06-20,42.308,43.179,38.0,43.095,46078.57799999991
46,2021-06-21,43.073,43.926,32.546,32.694,102549.21699999989
47,2021-06-22,32.695,36.158,27.494,31.617,169748.35899999892
48,2021-06-23,31.509,38.444,30.388,36.12,94608.08299999963
49,2021-06-24,36.175,39.0,34.722,38.2,61470.638000000305
50,2021-06-25,38.176,39.242,33.598,34.019,64926.33799999992
51,2021-06-26,33.906,34.974,31.619,34.662,53127.26399999957
52,2021-06-27,34.641,39.071,33.829,39.056,86504.31200000027
53,2021-06-28,39.056,39.919,37.769,38.479,57305.090000000804
54,2021-06-29,38.47,43.868,38.231,41.135,65510.37199999936
55,2021-06-30,41.108,41.778,37.503,40.294,52183.31200000001
56,2021-07-01,40.311,40.311,36.212,36.761,68702.78300000039
57,2021-07-02,36.715,37.429,34.493,37.124,57038.45199999996
58,2021-07-03,37.124,39.045,36.209,38.789,20951.553000000007
59,2021-07-04,38.75,40.985,36.833,39.35,49059.986999999994
60,2021-07-05,39.276,40.159,36.507,37.367,63685.05499999834
61,2021-07-06,37.315,43.2,37.315,39.9,175080.41699999836
62,2021-07-07,39.86,44.84,39.081,42.26,80265.34400000106
63,2021-07-08,42.205,42.601,36.93,38.072,86622.56599999993
64,2021-07-09,38.109,39.241,36.15,38.267,34663.07999999991
65,2021-07-10,38.241,42.827,37.434,41.543,85749.76000000049
66,2021-07-11,41.542,42.98,39.965,40.368,56636.61899999947
67,2021-07-12,40.389,41.833,38.016,38.962,33984.63000000004
68,2021-07-13,38.942,39.401,36.613,37.372,36763.055999999975
69,2021-07-14,37.34,37.536,33.255,36.553,50995.783000000076
70,2021-07-15,36.552,37.257,33.278,33.922,50565.44399999973
71,2021-07-16,34.012,34.5,31.575,32.241,33091.22499999996
72,2021-07-17,32.223,33.235,30.94,31.952,27858.42300000001
73,2021-07-18,31.93,33.66,31.714,32.375,19123.217999999957
74,2021-07-19,32.567,32.597,29.361,29.63,27181.72999999999
75,2021-07-20,29.531,31.059,27.24,29.712,65752.7199999989
76,2021-07-21,29.665,33.055,28.469,31.904,35521.67600000009
77,2021-07-22,32.073,34.518,31.179,31.833,43583.190000000046
78,2021-07-23,31.933,34.739,31.69,34.204,46160.5890000002
79,2021-07-24,34.322,35.42,33.304,34.3,28510.836000000036
80,2021-07-25,34.293,35.749,32.945,34.292,27260.68
81,2021-07-26,34.292,38.349,34.176,34.781,73480.02400000025
82,2021-07-27,34.719,37.606,33.554,36.143,47375.55700000008
83,2021-07-28,36.125,37.086,34.97,36.276,37830.66299999981
84,2021-07-29,36.276,38.043,35.327,36.461,41233.93100000017
85,2021-07-30,36.595,41.044,36.125,40.71,73104.7929999999
86,2021-07-31,40.66,45.261,40.069,40.638,95968.34499999914
87,2021-08-01,40.697,43.603,38.105,38.798,52652.207000000584
88,2021-08-02,38.999,42.177,38.25,40.807,43024.911000000044
89,2021-08-03,40.826,42.697,37.833,41.073,69429.26700000049
90,2021-08-04,41.159,43.588,39.849,42.607,51293.90600000041
91,2021-08-05,42.817,46.736,41.075,46.0,51230.241000000504
92,2021-08-06,46.036,48.541,45.316,46.165,66120.88399999987
93,2021-08-07,46.125,48.1,44.85,46.021,35828.04800000094
94,2021-08-08,46.033,46.312,42.3,43.034,40018.10200000012
95,2021-08-09,43.04,48.378,41.154,45.357,90984.94999999976
96,2021-08-10,45.38,50.384,44.61,48.221,100151.7379999995
97,2021-08-11,48.173,51.743,47.55,47.584,77110.49799999935
98,2021-08-12,47.5,50.551,44.767,47.001,44421.81500000013
99,2021-08-13,47.125,50.729,46.379,50.366,36933.828000000634
100,2021-08-14,50.27,54.952,48.149,52.504,62445.12800000066
101,2021-08-15,52.594,53.047,49.304,52.226,25588.87200000058
102,2021-08-16,52.26,56.938,51.702,52.45,64654.64499999978
103,2021-08-17,52.32,58.458,50.15,50.796,87373.05099999967
104,2021-08-18,50.638,55.14,47.01,51.012,61906.254999999794
105,2021-08-19,51.308,54.909,50.469,54.824,28514.045000000013
106,2021-08-20,54.89,57.831,54.099,57.1,33786.58999999898
107,2021-08-21,56.926,64.344,55.702,59.636,58974.111999999484
108,2021-08-22,59.619,61.648,56.888,61.368,32256.86399999971
109,2021-08-23,61.388,62.902,58.498,59.7,18563.102999999985
110,2021-08-24,59.56,59.784,52.683,53.793,34353.82299999996
111,2021-08-25,53.775,55.738,51.162,55.131,38917.091999999786
112,2021-08-26,55.19,55.677,48.392,49.965,52847.65900000017
113,2021-08-27,50.005,53.564,48.588,52.983,30951.670999999813
114,2021-08-28,53.034,54.804,51.748,53.253,25137.367000000042
115,2021-08-29,53.227,54.406,50.557,52.465,34074.91399999965
116,2021-08-30,52.45,55.451,50.512,52.109,39725.110999999946
117,2021-08-31,52.144,54.174,50.167,51.364,30908.39599999963
118,2021-09-01,51.27,56.823,50.369,56.493,36727.48399999991
119,2021-09-02,56.518,71.33,55.564,58.068,186957.11199999266
120,2021-09-03,58.097,64.328,56.226,58.424,83406.83099999758
121,2021-09-04,58.345,66.603,57.943,60.526,106478.79799999042
122,2021-09-05,60.621,67.373,59.916,64.926,60776.608000000284
123,2021-09-06,64.865,67.714,57.496,62.69,76167.86499999774
124,2021-09-07,62.688,66.897,40.612,50.965,95511.2689999834
125,2021-09-08,50.975,57.251,45.6,52.21,89743.86299999416
126,2021-09-09,52.6,59.421,51.412,52.616,70926.1610000002
127,2021-09-10,52.794,54.851,47.664,49.074,49187.880999998146
128,2021-09-11,49.224,53.758,48.434,51.076,17942.764999999858
129,2021-09-12,51.066,57.047,49.75,56.516,34999.62099999736
130,2021-09-13,56.52,58.935,50.594,51.661,74723.57699999993
131,2021-09-14,51.27,56.957,50.923,56.03,45234.7940000002
132,2021-09-15,55.986,62.077,54.84,60.57,57850.39800000141
133,2021-09-16,60.53,60.707,55.718,57.465,37562.59699999957
134,2021-09-17,57.464,66.931,56.152,58.361,159963.14099998976
135,2021-09-18,58.432,62.891,57.24,59.719,48618.21800000013
136,2021-09-19,59.762,60.5,54.267,55.469,32505.1669999985
137,2021-09-20,55.47,55.605,46.0,46.7,71721.54799999722
138,2021-09-21,46.866,49.219,40.417,41.341,61384.78500000051
139,2021-09-22,41.343,47.453,40.88,46.573,38771.44399999878
140,2021-09-23,46.416,49.912,45.77,49.284,38912.56599999916
141,2021-09-24,49.401,50.703,41.86,44.358,47197.59600000149
142,2021-09-25,44.429,46.248,42.603,45.272,36151.054
143,2021-09-26,45.24,46.085,40.5,45.382,29129.774
144,2021-09-27,45.487,47.626,42.919,43.01,31069.088999997894
145,2021-09-28,43.0,44.376,41.152,41.279,27945.51699999845
146,2021-09-29,41.413,44.651,40.727,41.561,41975.278000000726
147,2021-09-30,41.453,43.501,41.251,43.03,20953.051
148,2021-10-01,43.048,48.165,42.68,48.021,32359.064999998336
149,2021-10-02,48.021,50.535,47.128,48.454,20860.362
150,2021-10-03,48.447,51.929,47.234,49.209,27638.640999999254
151,2021-10-04,49.215,49.347,45.362,47.28,28224.64999999917
152,2021-10-05,47.363,50.683,46.76,50.035,31314.10799999784
153,2021-10-06,49.97,53.658,45.81,49.191,56125.83599999991
154,2021-10-07,49.162,51.62,47.527,49.417,40594.94899999845
155,2021-10-08,49.432,52.168,49.209,49.662,18069.70900000011
156,2021-10-09,49.805,50.199,47.87,48.553,25092.14999999987
157,2021-10-10,48.528,48.958,44.94,45.151,26158.182
158,2021-10-11,45.043,47.294,43.59,45.051,31316.242999998733
159,2021-10-12,44.999,44.999,41.713,44.638,31127.722999998827
160,2021-10-13,44.612,46.033,43.582,45.956,37628.940000000155
161,2021-10-14,45.983,48.877,45.51,47.475,43181.32899999829
162,2021-10-15,47.465,52.499,45.6,49.51,142528.6449999898
163,2021-10-16,49.574,63.85,49.34,50.9,226480.162000015
164,2021-10-17,50.934,60.999,49.8,53.087,183671.62200001293
165,2021-10-18,53.147,54.798,51.223,53.719,80038.84399999233
166,2021-10-19,53.737,57.363,53.209,55.27,87372.21699999495
167,2021-10-20,55.266,60.82,54.351,58.746,57285.219999997666
168,2021-10-21,58.795,59.741,54.783,58.976,34631.588999999934
169,2021-10-22,58.976,62.951,56.93,57.308,43916.936999998645
170,2021-10-23,57.261,57.392,54.89,55.615,24372.991999999966
171,2021-10-24,55.615,55.615,52.945,53.84,47842.111999999004
172,2021-10-25,53.875,56.966,53.532,55.737,27973.375000000044
173,2021-10-26,55.73,58.126,53.753,53.846,64710.16799999868
174,2021-10-27,53.808,54.219,44.528,48.431,117430.99299999134
175,2021-10-28,48.445,51.504,48.132,50.77,38043.453999999
176,2021-10-29,50.733,53.886,50.3,52.608,16673.53300000004
177,2021-10-30,52.598,55.325,51.336,55.322,28314.69900000012
178,2021-10-31,55.328,60.918,54.348,59.578,100705.97799998723
179,2021-11-01,59.578,66.855,57.68,62.137,100149.2809999961
180,2021-11-02,62.235,66.869,60.355,63.278,54223.30699999896
181,2021-11-03,63.142,63.875,59.488,63.8,33427.75399999983
182,2021-11-04,63.878,69.639,62.19,62.433,91900.79199999895
183,2021-11-05,62.316,64.224,60.65,61.133,34595.49899999997
184,2021-11-06,61.178,61.596,57.168,60.321,25636.422000000035
185,2021-11-07,60.309,60.309,58.353,58.841,24971.30899999994
186,2021-11-08,58.844,65.889,57.856,64.314,46664.129999997356
187,2021-11-09,64.351,68.0,63.326,67.399,47394.29799999899
188,2021-11-10,67.435,72.809,59.896,63.53,80802.58500000014
189,2021-11-11,63.547,69.583,61.67,69.352,51097.58099999997
190,2021-11-12,69.284,72.267,63.752,68.289,47845.42599999984
191,2021-11-13,68.362,80.0,67.587,73.097,80915.74200000038
192,2021-11-14,73.205,75.14,70.33,73.015,31051.52699999995
193,2021-11-15,72.971,73.015,66.344,66.783,29716.373000000054
194,2021-11-16,66.797,66.797,53.615,57.313,79547.98099998716
195,2021-11-17,57.3,58.177,54.337,55.949,36822.47899999893
196,2021-11-18,55.987,57.211,48.336,50.123,36402.51899999934
197,2021-11-19,50.138,56.129,49.23,55.555,26886.55800000019
198,2021-11-20,55.537,57.27,53.313,56.422,21509.846000000012
199,2021-11-21,56.441,59.669,55.707,56.072,42564.332999999446
200,2021-11-22,56.041,56.184,51.904,53.126,28539.752000000146
201,2021-11-23,53.11,59.259,52.543,56.562,41133.31499999848
202,2021-11-24,56.472,59.135,53.362,55.826,35986.67999999968
203,2021-11-25,55.865,60.461,55.63,59.301,40122.937999998816
204,2021-11-26,59.343,59.343,50.433,53.033,62048.23699999168
205,2021-11-27,53.04,57.593,52.782,55.252,44723.659999997515
206,2021-11-28,55.219,55.423,50.097,54.799,34402.742000000086
207,2021-11-29,54.84,56.432,53.37,54.223,28183.79800000012
208,2021-11-30,54.302,55.194,51.72,52.765,25728.278000000082
209,2021-12-01,52.817,56.654,51.64,52.12,31464.892000000098
210,2021-12-02,52.121,52.512,50.074,51.038,36013.124999999454
211,2021-12-03,50.953,53.054,45.002,47.365,83652.7879999971
212,2021-12-04,47.335,47.429,33.13,39.114,87067.36600000273
213,2021-12-05,39.12,40.0,34.775,36.782,71512.78800000159
214,2021-12-06,36.7,37.568,33.287,36.956,104482.85300000197
215,2021-12-07,36.926,39.701,36.649,37.759,52921.65100000054
216,2021-12-08,37.643,39.577,36.136,39.466,31238.390999999654
217,2021-12-09,39.487,40.839,35.0,35.16,52517.758000000395
218,2021-12-10,35.17,36.58,33.25,33.42,29127.09800000001
219,2021-12-11,33.37,36.04,32.85,35.79,30526.60199999991
220,2021-12-12,35.82,36.95,34.54,36.33,23422.628999999957
221,2021-12-13,36.35,36.78,29.99,30.52,42879.36200000024
222,2021-12-14,30.59,31.52,29.63,31.24,27680.042999999932
223,2021-12-15,31.22,32.21,29.42,31.78,28543.909999999873
224,2021-12-16,31.79,33.6,31.78,31.83,14012.732999999906
225,2021-12-17,31.87,33.43,30.7,31.69,30722.539000000055
226,2021-12-18,31.73,34.87,31.21,33.28,22276.13700000006
227,2021-12-19,33.25,34.4,31.73,31.84,13575.041000000003
228,2021-12-20,31.83,31.99,29.43,30.38,21428.074000000015
229,2021-12-21,30.41,32.11,29.89,32.03,15401.880999999954
230,2021-12-22,32.08,35.52,32.04,33.76,55858.072999998294
231,2021-12-23,33.8,37.17,33.1,37.11,30841.593000000066
232,2021-12-24,37.12,37.13,34.58,34.92,19316.238000000056
233,2021-12-25,34.91,39.7,34.71,39.41,45224.15999999851
234,2021-12-26,39.41,40.4,37.44,38.9,75373.93899999627
235,2021-12-27,39.05,41.95,39.04,39.59,40506.26599999957
236,2021-12-28,39.57,39.57,34.86,35.02,65043.97299999996
237,2021-12-29,35.03,35.62,32.8,33.2,46418.65500000025
238,2021-12-30,33.28,34.44,32.38,33.99,25344.38200000002
239,2021-12-31,33.9,35.03,32.22,33.08,40317.173000000235
240,2022-01-01,33.09,35.39,33.07,35.27,21032.650000000012
241,2022-01-02,35.29,35.97,33.85,35.55,28924.465000000047
242,2022-01-03,35.52,36.47,34.01,36.41,29308.294000000184
243,2022-01-04,36.48,37.91,34.45,35.83,51498.7999999995
244,2022-01-05,35.87,39.27,31.55,33.41,77103.71799999861
245,2022-01-06,33.43,33.96,31.61,33.16,32991.12500000009
246,2022-01-07,33.12,33.16,30.1,30.97,36112.51100000011
247,2022-01-08,31.07,32.2,27.92,28.84,34222.27799999983
248,2022-01-09,28.86,30.61,28.54,29.94,16051.679999999964
249,2022-01-10,30.04,30.33,26.56,28.05,49289.43999999993
250,2022-01-11,28.05,29.68,27.77,29.43,13338.209000000026
251,2022-01-12,29.56,31.95,29.4,31.51,25642.973999999856
252,2022-01-13,31.5,32.38,29.18,29.3,30049.619000000006
253,2022-01-14,29.31,30.12,28.69,29.7,13618.083000000024
254,2022-01-15,29.77,31.44,29.37,30.63,10534.76200000003
255,2022-01-16,30.51,31.13,29.95,30.87,9422.86900000001
256,2022-01-17,30.92,30.92,28.4,28.92,10368.871000000005
257,2022-01-18,28.96,29.21,27.08,27.84,13226.152000000033
258,2022-01-19,27.87,27.93,26.13,26.13,16164.914000000006
259,2022-01-20,26.13,27.56,24.23,24.39,25918.12699999984
260,2022-01-21,24.41,24.62,20.49,21.23,42446.63300000029
261,2022-01-22,21.16,22.27,16.77,18.76,65811.9370000012
262,2022-01-23,18.89,19.88,18.31,19.45,21536.12799999985
263,2022-01-24,19.36,19.36,16.61,19.01,51472.85100000002
264,2022-01-25,18.83,19.55,18.09,19.01,43164.11599999975
265,2022-01-26,19.01,21.22,18.68,18.91,22043.329999999976
266,2022-01-27,18.82,19.68,17.8,18.67,13735.466999999982
267,2022-01-28,18.63,20.11,18.4,20.08,22423.45299999987
268,2022-01-29,20.04,21.06,19.93,20.73,18809.66100000009
269,2022-01-30,20.76,21.27,19.75,20.05,2693.029999999998
270,2022-01-31,20.07,20.59,18.92,20.51,6195.850999999998
271,2022-02-01,20.57,21.17,20.37,20.94,18377.98200000012
272,2022-02-02,20.91,21.44,19.64,20.09,6669.092999999996
273,2022-02-03,20.06,20.31,18.67,19.28,17060.435000000005
274,2022-02-04,19.3,22.18,18.96,21.99,18464.57799999998
275,2022-02-05,21.96,22.75,21.66,22.45,15084.112000000026
276,2022-02-06,22.42,25.21,22.39,24.65,52018.763000000625
277,2022-02-07,24.77,26.59,24.08,25.54,18876.98699999999
278,2022-02-08,25.42,26.77,24.21,25.99,11880.957000000006
279,2022-02-09,26.01,26.95,24.51,25.8,13981.155999999999
280,2022-02-10,25.72,26.11,23.55,23.69,16100.835999999981
281,2022-02-11,23.75,24.54,21.73,22.36,8624.908000000016
282,2022-02-12,22.19,23.1,21.16,22.54,5057.616000000004
283,2022-02-13,22.35,22.78,21.02,21.38,6117.713000000009
284,2022-02-14,21.3,21.33,20.38,21.2,12753.811000000022
285,2022-02-15,21.27,23.85,21.18,23.7,16535.27799999998
286,2022-02-16,23.72,24.49,22.86,24.03,16899.57799999998
287,2022-02-17,24.18,24.45,21.19,21.3,14842.67299999993
288,2022-02-18,21.17,22.02,20.27,20.51,6219.378999999997
289,2022-02-19,20.41,21.07,19.48,20.48,6937.934999999968
290,2022-02-20,20.48,20.48,18.41,18.79,15423.859999999964
291,2022-02-21,18.91,20.13,17.56,17.63,22562.375999999793
292,2022-02-22,17.69,19.69,17.15,19.41,10542.857999999986
293,2022-02-23,19.33,20.34,18.63,18.82,36648.33899999994
294,2022-02-24,18.77,19.71,15.88,19.48,22423.17400000007
295,2022-02-25,19.51,21.59,19.26,21.16,15196.954999999913
296,2022-02-26,21.29,22.24,20.96,21.2,11778.37199999993
297,2022-02-27,21.2,22.61,19.55,19.91,16471.602999999992
298,2022-02-28,19.88,21.52,19.52,21.16,15531.048000000012
299,2022-03-01,21.22,22.38,20.6,22.02,27918.005999999998
300,2022-03-02,22.12,22.12,20.63,20.76,9568.832999999939
301,2022-03-03,20.81,20.96,19.31,19.77,6035.912999999951
302,2022-03-04,19.82,19.82,18.0,18.21,8906.406999999961
303,2022-03-05,18.24,19.26,17.6,19.06,7196.94499999991
304,2022-03-06,19.05,19.51,17.57,17.6,8924.272999999914
305,2022-03-07,17.67,19.26,17.2,18.4,15857.277999999722
306,2022-03-08,18.39,19.14,17.96,18.57,9422.423999999717
307,2022-03-09,18.58,20.71,18.58,20.31,25670.804999999866
308,2022-03-10,20.3,21.05,18.26,18.43,19431.272999999834
309,2022-03-11,18.43,18.78,17.69,17.81,13622.319999999978
310,2022-03-12,17.83,18.63,17.64,17.7,6910.633999999947
311,2022-03-13,17.67,18.54,17.48,17.54,9959.227000000003
312,2022-03-14,17.54,18.78,17.13,18.64,17057.99099999992
313,2022-03-15,18.62,18.78,17.75,18.7,16221.25799999991
314,2022-03-16,18.67,19.74,18.43,19.73,8873.10999999981
315,2022-03-17,19.73,19.85,19.13,19.15,5390.297999999978
316,2022-03-18,19.13,20.3,18.72,20.21,7175.729999999977
317,2022-03-19,20.2,21.27,20.12,20.56,15029.328999999949
318,2022-03-20,20.58,20.68,19.2,19.62,7390.598000000002
319,2022-03-21,19.72,20.99,19.11,19.75,10678.633999999987
320,2022-03-22,19.72,21.35,19.65,20.78,10652.392999999944
321,2022-03-23,20.78,22.08,20.57,22.02,12749.632999999967
322,2022-03-24,22.03,22.33,21.18,21.78,15202.921999999995
323,2022-03-25,21.73,22.5,21.07,21.53,11637.388999999992
324,2022-03-26,21.52,22.39,21.35,22.24,4764.432000000003
325,2022-03-27,22.28,24.32,21.81,24.3,17841.974999999904
326,2022-03-28,24.32,25.53,22.56,22.99,25267.931999999884
327,2022-03-29,22.96,25.26,22.91,24.45,14706.624999999984
328,2022-03-30,24.33,26.1,23.22,25.48,15551.613999999983
329,2022-03-31,25.66,27.76,24.64,25.7,24880.559999999907
330,2022-04-01,25.74,29.36,25.33,27.8,75346.33200000171
331,2022-04-02,27.74,30.13,27.69,28.45,27055.9599999999
332,2022-04-03,28.45,29.64,27.9,28.71,12252.980999999982
333,2022-04-04,28.75,28.85,26.07,27.39,11359.941999999988
334,2022-04-05,27.37,28.67,26.44,26.52,7458.255000000007
335,2022-04-06,26.5,26.54,22.52,22.56,15840.5079999999
336,2022-04-07,22.6,23.79,22.12,23.55,9201.439999999988
337,2022-04-08,23.48,23.76,21.3,21.52,7342.306000000001
338,2022-04-09,21.59,22.87,21.52,22.73,6979.100999999987
339,2022-04-10,22.62,22.95,21.43,21.45,7804.6259999999775
340,2022-04-11,21.39,21.56,18.76,19.15,12002.209999999952
341,2022-04-12,19.28,20.79,19.12,20.17,9449.084999999981
