,date,open,high,low,close,volume
0,2021-08-12,0.93,0.93,0.7,0.723,6437509.699999982
1,2021-08-13,0.7211,0.82,0.6815,0.7241,17208180.99999968
2,2021-08-14,0.7233,0.7278,0.6472,0.6933,6771117.90000003
3,2021-08-15,0.6812,0.6879,0.6008,0.6532,3587976.9999999967
4,2021-08-16,0.653,0.7922,0.6458,0.6514,10835636.199999968
5,2021-08-17,0.6496,0.7496,0.62,0.6864,6301938.399999985
6,2021-08-18,0.6863,0.8049,0.624,0.6827,10002577.099999946
7,2021-08-19,0.6824,0.6978,0.634,0.6606,6477171.600000015
8,2021-08-20,0.6619,0.702,0.6529,0.6755,4551741.000000047
9,2021-08-21,0.6776,0.6936,0.6445,0.6502,2724266.9000000074
10,2021-08-22,0.6503,0.6794,0.6062,0.6309,5024399.800000006
11,2021-08-23,0.634,0.669,0.6218,0.6408,4110426.0000000126
12,2021-08-24,0.6372,0.6739,0.5618,0.5658,10007065.900000019
13,2021-08-25,0.5662,0.615,0.5344,0.5892,6750477.799999978
14,2021-08-26,0.5892,0.5967,0.528,0.5285,6789076.400000007
15,2021-08-27,0.5294,0.5888,0.5152,0.575,6023827.600000001
16,2021-08-28,0.5772,0.5774,0.5331,0.5413,2516551.8000000184
17,2021-08-29,0.5415,0.6341,0.5285,0.5984,9737534.599999996
18,2021-08-30,0.5983,0.64,0.5378,0.5385,6600731.79999997
19,2021-08-31,0.5398,0.5587,0.5258,0.5342,3798636.4
20,2021-09-01,0.533,0.634,0.525,0.62,4369562.600000025
21,2021-09-02,0.62,0.645,0.565,0.5672,5523905.499999971
22,2021-09-03,0.5674,0.588,0.5435,0.5737,2566247.8000000073
23,2021-09-04,0.5728,0.61,0.5708,0.5799,5284230.000000028
24,2021-09-05,0.5799,0.6402,0.5702,0.6144,4054642.1000000164
25,2021-09-06,0.6135,0.6701,0.5923,0.637,4578329.800000054
26,2021-09-07,0.6381,0.72,0.42,0.4791,10100779.799999932
27,2021-09-08,0.48,0.51,0.4327,0.4836,5321209.09999999
28,2021-09-09,0.4839,0.4987,0.4654,0.4711,3356569.999999992
29,2021-09-10,0.4716,0.4814,0.4019,0.4236,6876425.100000012
30,2021-09-11,0.4223,0.4481,0.4118,0.4209,3048888.5999999945
31,2021-09-12,0.4208,0.505,0.41,0.5004,6369895.700000007
32,2021-09-13,0.5026,0.5426,0.4286,0.4392,6953928.299999977
33,2021-09-14,0.4397,0.6089,0.4319,0.5793,11751876.900000207
34,2021-09-15,0.5813,0.6657,0.539,0.5835,11158503.499999814
35,2021-09-16,0.5834,0.6649,0.5805,0.6432,6865328.100000037
36,2021-09-17,0.6441,0.646,0.5515,0.5587,2866587.899999998
37,2021-09-18,0.5621,0.6153,0.5472,0.5579,2222445.300000001
38,2021-09-19,0.5579,0.5708,0.5327,0.5449,1528426.700000003
39,2021-09-20,0.5416,0.5425,0.4278,0.4471,4796390.900000012
40,2021-09-21,0.4496,0.5309,0.42,0.4518,4456765.90000002
41,2021-09-22,0.4503,0.5325,0.4487,0.4881,7444446.099999984
42,2021-09-23,0.4881,0.5345,0.4773,0.5061,5350108.100000008
43,2021-09-24,0.5063,0.5096,0.4259,0.456,4386496.300000023
44,2021-09-25,0.4564,0.4846,0.44,0.4512,2214140.4000000153
45,2021-09-26,0.4507,0.4641,0.4018,0.4341,1848569.900000017
46,2021-09-27,0.4336,0.4587,0.4192,0.4215,1370031.2999999977
47,2021-09-28,0.4213,0.4464,0.405,0.407,2310473.500000001
48,2021-09-29,0.407,0.4359,0.4006,0.4138,2346992.100000003
49,2021-09-30,0.4139,0.4417,0.4088,0.4406,2279406.500000015
50,2021-10-01,0.4422,0.4828,0.4244,0.482,3448448.4000000083
51,2021-10-02,0.482,0.5177,0.4644,0.4897,2977171.3000000203
52,2021-10-03,0.4868,0.5017,0.4725,0.4981,1872127.2000000027
53,2021-10-04,0.4962,0.4963,0.4524,0.46,2645342.8000000026
54,2021-10-05,0.4599,0.5161,0.4561,0.4915,4540183.299999989
55,2021-10-06,0.4918,0.5598,0.4659,0.4841,5737802.899999965
56,2021-10-07,0.4849,0.5081,0.4676,0.4695,3086305.3000000035
57,2021-10-08,0.47,0.4812,0.457,0.4601,1460226.8000000012
58,2021-10-09,0.4596,0.4948,0.4572,0.4692,2126889.900000003
59,2021-10-10,0.4684,0.4717,0.4323,0.4371,1958900.000000006
60,2021-10-11,0.4368,0.4678,0.4237,0.4284,2770936.9000000013
61,2021-10-12,0.4283,0.4299,0.4078,0.4267,1850107.1000000003
62,2021-10-13,0.4278,0.4413,0.413,0.4323,1721363.4999999723
63,2021-10-14,0.4331,0.4731,0.4278,0.4654,3206517.799999886
64,2021-10-15,0.4645,0.6078,0.4516,0.4913,12669388.60000127
65,2021-10-16,0.4902,0.5533,0.4711,0.495,7163563.500000398
66,2021-10-17,0.493,0.67,0.4885,0.5748,16395568.700000256
67,2021-10-18,0.575,0.6478,0.5442,0.5613,12686479.800001284
68,2021-10-19,0.5619,0.64,0.5509,0.6132,7745832.899999882
69,2021-10-20,0.6134,0.6254,0.5719,0.6053,4818379.499999911
70,2021-10-21,0.6042,0.6485,0.5702,0.5719,3636928.1999998996
