,date,open,high,low,close,volume
0,2020-10-13,1.0008,1.01,1.0008,1.01,305.91857106
1,2020-10-14,1.0006,1.011,1.0006,1.01,72.63768911
2,2020-10-16,0.99991,1.0079,0.99991,1.0079,45.46902394
3,2020-10-18,1.0002,1.0002,1.0002,1.0002,37.7108974
4,2020-10-20,1.0008,1.0008,1.0008,1.0008,2.0
5,2020-10-21,0.998,0.998,0.998,0.998,128.76515
6,2020-10-22,0.99801,0.99801,0.99801,0.99801,26.44779411
7,2020-10-26,0.9671,1.002,0.9655,1.002,3013.14249958
8,2020-10-27,1.002,1.002,0.99803,0.99803,420.43641088
9,2020-10-28,1.002,1.002,1.002,1.002,200.0
10,2020-10-29,1.002,1.002,1.002,1.002,13.0
11,2020-11-02,0.99501,0.996,0.9922,0.9955,11517.67326732
12,2020-11-04,0.995,0.9985,0.995,0.99819,5304.036788290001
13,2020-11-05,0.99011,0.99011,0.99011,0.99011,3.293622
14,2020-11-06,0.993,0.99938,0.99016,0.9902,47694.670043800004
15,2020-11-07,0.99937,1.0046,0.99059,1.0046,3476.84843424
16,2020-11-09,0.9995,0.9998,0.9995,0.9998,321.747382
17,2020-11-10,0.9521,1.0016,0.95,1.0016,10061.414188199999
18,2020-11-11,1.002,1.0028,1.002,1.0028,1527.0
19,2020-11-12,1.0,1.0,0.9941,0.9941,2795.24
20,2020-11-14,1.0,1.0,1.0,1.0,570.0
21,2020-11-16,0.99949,1.0016,0.95,1.0016,9639.528776269999
22,2020-11-17,0.9999,0.9999,0.99861,0.99861,992.98
23,2020-11-19,0.984,0.9998,0.984,0.9998,2305.7024334400007
24,2020-11-20,0.9998,0.9999,0.9501,0.9999,6720.84105457
25,2020-11-21,0.99,0.999,0.99,0.999,23.56036004
26,2020-11-22,0.99932,0.9999,0.96802,0.995,4051.2461797299998
27,2020-11-23,0.9999,0.9999,0.99654,0.9999,1501.55871727
28,2020-11-24,0.98523,0.9999,0.98523,0.9999,28.40261639
29,2020-11-26,0.9999,1.007,0.98902,1.007,6088.74541922
30,2020-11-28,1.0043,1.0043,1.0023,1.0023,483.09153025
31,2020-11-30,1.0042,1.0066,1.0002,1.0039,9349.909770170001
32,2020-12-01,1.0036,1.0056,1.0,1.0002,4546.0795963
33,2020-12-03,0.99991,1.001,0.9999,1.001,485.81264300000004
34,2020-12-04,0.99921,0.99921,0.99921,0.99921,2.69557379
35,2020-12-05,1.0009,1.0009,0.99945,0.99945,27.54681507
36,2020-12-08,1.0023,1.0023,1.0009,1.0009,438.47107908
37,2020-12-09,1.01,1.05,1.0001,1.002,29137.321406150004
38,2020-12-11,1.0007,1.0007,0.99821,0.99821,3068.19623595
39,2020-12-12,1.0027,1.0027,0.99811,0.99811,97.539654
40,2020-12-13,1.0021,1.0021,1.0021,1.0021,200.0
41,2020-12-14,0.99891,0.99891,0.9982,0.9982,7.953431780000001
42,2020-12-15,1.0024,1.0024,0.99811,0.99811,17.935299999999998
43,2020-12-16,0.99981,0.99981,0.99801,0.99801,10.360204360000001
44,2020-12-17,0.99801,1.001,0.99581,0.99581,680.47667365
45,2020-12-18,1.0004,1.0004,1.0004,1.0004,5.70031368
46,2020-12-19,0.99614,0.99614,0.99614,0.99614,4.3082305
47,2020-12-21,1.001,1.001,1.001,1.001,109.07711269
48,2020-12-22,1.0013,1.0018,0.95229,0.99999,12239.47063034
49,2020-12-23,0.9999,1.0045,0.99252,1.0045,2036.9932716599997
50,2020-12-24,0.99767,1.0044,0.99594,0.99936,166.09614469000002
51,2020-12-25,1.0023,1.0023,1.0006,1.0006,1359.0938
52,2020-12-26,1.002,1.0027,0.99742,0.99742,6487.21751908
53,2020-12-27,0.99872,1.0048,0.99859,0.99859,8.811946859999999
54,2020-12-28,0.99836,0.99836,0.99584,0.99588,106.53694346999998
55,2020-12-29,1.0009,1.0009,0.99587,0.99587,2271.70188237
56,2020-12-30,0.99585,1.0028,0.99585,1.0009,8695.43026609
57,2020-12-31,1.0,1.0003,0.99601,0.99992,4988.36698014
