,date,open,high,low,close,volume
0,2020-10-13,9.45,9.72,8.69,9.207,193916.762
1,2020-10-14,9.223,9.233,8.136,8.377,146502.43800000008
2,2020-10-15,8.391,8.425,7.76,8.17,113800.12099999996
3,2020-10-16,8.17,8.201,7.508,7.612,123204.41599999991
4,2020-10-17,7.612,7.849,7.324,7.444,123770.38200000045
5,2020-10-18,7.447,10.25,7.33,9.164,698659.6490000061
6,2020-10-19,9.19,9.413,8.377,8.549,280271.07600000215
7,2020-10-20,8.55,8.797,8.02,8.085,185647.20299999983
8,2020-10-21,8.082,8.656,7.931,8.151,260755.8819999996
9,2020-10-22,8.15,8.499,7.959,8.209,122308.69199999988
10,2020-10-23,8.218,8.252,7.814,8.045,93810.43500000029
11,2020-10-24,8.041,8.353,7.939,8.238,77114.3510000004
12,2020-10-25,8.245,8.254,7.752,7.811,96767.95000000128
13,2020-10-26,7.811,8.089,7.31,7.702,103180.63500000021
14,2020-10-27,7.701,7.702,7.208,7.266,108480.66999999995
15,2020-10-28,7.266,8.254,6.954,7.157,249912.79100000006
16,2020-10-29,7.151,8.2,7.014,7.249,264343.20500000054
17,2020-10-30,7.258,7.277,6.834,6.866,96392.08699999988
18,2020-10-31,6.862,7.007,6.705,6.723,67943.23299999989
19,2020-11-01,6.735,6.996,6.677,6.924,38126.899999999834
20,2020-11-02,6.922,7.338,6.693,6.864,93708.78599999988
21,2020-11-03,6.865,6.873,6.422,6.62,64384.10799999971
22,2020-11-04,6.628,6.79,6.35,6.599,50593.022999999775
23,2020-11-05,6.597,6.9,6.447,6.78,64762.74999999975
24,2020-11-06,6.763,7.472,6.761,7.445,144994.10300000082
25,2020-11-07,7.445,7.838,6.707,6.897,148829.04100000075
26,2020-11-08,6.917,7.357,6.847,7.2,95651.64199999992
27,2020-11-09,7.189,7.289,6.735,6.956,55784.76400000007
28,2020-11-10,6.928,7.749,6.903,7.606,113992.82799999902
29,2020-11-11,7.609,9.4,7.526,8.507,428850.0379999918
30,2020-11-12,8.515,8.543,7.533,7.742,145025.5529999979
31,2020-11-13,7.747,8.448,7.734,8.148,94032.00599999781
32,2020-11-14,8.199,8.363,7.696,8.201,49171.4329999996
