,date,open,high,low,close,volume
0,2020-10-13,3.4653,3.5,3.2939,3.3509,976254.4725422482
1,2020-10-14,3.3549,3.437,2.9725,3.1129,2222322.7373088873
2,2020-10-15,3.1114,3.1841,2.9209,3.084,2423480.620751918
3,2020-10-16,3.0837,3.3816,2.88,3.048,4136026.177637262
4,2020-10-17,3.0485,3.1275,2.9804,3.0591,1226271.6267201083
5,2020-10-18,3.0572,3.29,3.0454,3.2884,1445731.9584929761
6,2020-10-19,3.2851,3.2899,3.11,3.1735,1115286.4029627414
7,2020-10-20,3.1717,3.1922,2.739,2.8613,2515788.761252521
8,2020-10-21,2.8618,3.0931,2.8423,2.9433,2470360.410402183
9,2020-10-22,2.9435,3.1538,2.9251,3.0461,1764262.5700996695
10,2020-10-23,3.0438,3.1256,2.9687,3.0172,1216745.4133717308
11,2020-10-24,3.0151,3.0872,2.93,2.9446,1344375.0757530888
12,2020-10-25,2.942,2.9712,2.7158,2.7793,1753314.5311717116
13,2020-10-26,2.7782,2.8766,2.53,2.7129,3016008.2045299103
14,2020-10-27,2.7159,2.9135,2.7026,2.823,1951528.8113873051
15,2020-10-28,2.7958,2.8605,2.597,2.6663,1532771.640311687
16,2020-10-29,2.6638,2.7405,2.4893,2.5409,1312862.229525598
17,2020-10-30,2.5426,2.5652,2.2391,2.4163,3808498.8567379247
18,2020-10-31,2.4136,2.4162,2.2403,2.2689,1769416.8155555842
19,2020-11-01,2.2669,2.4529,2.2177,2.3774,2213099.7489419337
20,2020-11-02,2.3799,2.4545,2.2258,2.2563,1591535.7619034566
21,2020-11-03,2.2561,2.2868,2.0563,2.1391,3380329.2771308883
22,2020-11-04,2.1374,2.1664,1.8777,1.9285,3462911.5168754323
23,2020-11-05,1.9336,2.44,1.7606,2.1946,8162488.585775175
24,2020-11-06,2.1949,2.6958,2.1771,2.5704,7975555.48286026
25,2020-11-07,2.5743,3.0329,2.41,2.4803,10816463.592839561
26,2020-11-08,2.4797,2.931,2.4362,2.8652,3498389.097655342
27,2020-11-09,2.8674,2.8844,2.5747,2.6824,3613793.9508666876
28,2020-11-10,2.6818,3.1772,2.6277,3.0784,4095190.9592266665
29,2020-11-11,3.0787,3.2206,2.886,2.9354,3097149.692057688
30,2020-11-12,2.9352,3.1399,2.8407,2.9603,2639479.6712290184
31,2020-11-13,2.9622,3.9999,2.9324,3.8624,6648607.274628932
32,2020-11-14,3.8655,3.9735,3.5001,3.813,5165230.782255722
33,2020-11-15,3.8157,4.2498,3.6046,3.8497,6989574.321294697
34,2020-11-16,3.8452,3.94,3.4489,3.566,5682123.058178707
35,2020-11-17,3.5665,3.8666,3.4733,3.817,5726225.705390132
36,2020-11-18,3.8132,3.8533,3.2786,3.4624,4958465.753610691
37,2020-11-19,3.4666,3.9163,3.2306,3.7512,5333183.606659946
38,2020-11-20,3.7482,4.0907,3.68,3.8626,5256665.924347426
39,2020-11-21,3.8619,3.9407,3.5834,3.8341,4202367.760943608
40,2020-11-22,3.8342,3.9552,3.4146,3.6819,4335472.188766902
41,2020-11-23,3.6899,4.2333,3.6265,4.1875,4976059.311420731
42,2020-11-24,4.1874,4.4871,3.918,4.066,5213203.698309443
43,2020-11-25,4.0678,4.2043,3.52,3.6771,4296197.820479775
44,2020-11-26,3.6755,3.7702,3.1,3.4352,6502087.867722022
45,2020-11-27,3.4343,3.5506,3.1609,3.311,2923833.621414468
46,2020-11-28,3.3076,3.5346,3.2578,3.4638,2001157.00406884
47,2020-11-29,3.4605,3.5764,3.3651,3.556,1051831.5938409448
48,2020-11-30,3.56,3.8151,3.5366,3.7746,1904887.169264312
49,2020-12-01,3.7733,3.9958,3.4002,3.5537,3216059.257544555
50,2020-12-02,3.5541,4.174,3.4982,3.9532,3101119.9960254948
51,2020-12-03,3.947,4.0263,3.8014,3.8886,1841955.1150945497
52,2020-12-04,3.885,3.9209,3.5,3.5232,1483397.782138256
53,2020-12-05,3.52,3.698,3.4477,3.6836,1267473.8732106555
54,2020-12-06,3.6828,3.7949,3.509,3.6504,969951.6654853983
55,2020-12-07,3.6523,3.878,3.564,3.758,1583769.7037770434
56,2020-12-08,3.7544,3.764,3.276,3.2976,2167555.320732505
57,2020-12-09,3.2915,3.3986,3.1171,3.3555,2453531.98241575
58,2020-12-10,3.3576,3.3715,3.1834,3.2399,780012.7367039252
59,2020-12-11,3.245,3.2489,2.9111,2.9631,2807791.1071413485
60,2020-12-12,2.9628,3.1861,2.9581,3.1231,1856017.6871717866
61,2020-12-13,3.123,3.3639,3.0726,3.3434,927673.3262475001
62,2020-12-14,3.3156,3.55,3.2366,3.4803,1683503.1312961034
63,2020-12-15,3.4803,3.5184,3.3084,3.3295,1297296.8296782363
64,2020-12-16,3.3288,3.5436,3.2432,3.5419,1996665.9584467807
65,2020-12-17,3.5394,4.0,3.4357,3.695,3473080.179806645
66,2020-12-18,3.6968,3.8557,3.5466,3.7664,2596411.0130868857
67,2020-12-19,3.7736,4.2493,3.708,3.9683,5181646.878973161
68,2020-12-20,3.9677,4.0253,3.7067,3.7649,2248825.382913441
69,2020-12-21,3.7561,3.9242,3.4049,3.512,2470093.243384582
70,2020-12-22,3.5113,3.7764,3.2801,3.7336,2538210.720620161
71,2020-12-23,3.7325,3.7749,3.0055,3.3137,3660062.8717918224
72,2020-12-24,3.3095,3.5297,3.1606,3.5244,2378827.1258551623
