,date,open,high,low,close,volume
0,2022-01-03,1.5569,1.583,1.49,1.5348,90944.1150511201
1,2022-01-04,1.5397,1.5929,1.3701,1.4639,237595.23460710983
2,2022-01-05,1.4584,1.4811,1.3101,1.3525,279206.3766317403
3,2022-01-06,1.3554,1.4277,1.277,1.4119,181130.61968462972
4,2022-01-07,1.4098,1.4601,1.258,1.2694,118197.53052739994
5,2022-01-08,1.2681,1.3715,1.2,1.2027,162539.3116631701
6,2022-01-09,1.2066,1.2846,1.161,1.2542,126857.73184458012
7,2022-01-10,1.2561,1.2794,1.08,1.1336,248778.6007992596
8,2022-01-11,1.1379,1.24,1.0968,1.23,178654.83759526027
9,2022-01-12,1.2298,1.4636,1.2271,1.3539,231151.83675974983
10,2022-01-13,1.3566,1.4569,1.2879,1.3005,107804.16702796015
11,2022-01-14,1.2983,1.3431,1.265,1.3038,135077.92109838984
12,2022-01-15,1.3027,1.3916,1.2779,1.3521,49827.65023850001
13,2022-01-16,1.3571,1.3719,1.2723,1.3062,49314.17312004007
14,2022-01-17,1.316,1.3342,1.2118,1.2317,94578.1041969801
15,2022-01-18,1.2319,1.2604,1.15,1.2361,132890.76804597033
16,2022-01-19,1.2358,1.2648,1.15,1.169,126862.41019190004
17,2022-01-20,1.1706,1.3062,1.1399,1.1424,142001.07404370967
18,2022-01-21,1.1446,1.152,0.88927,0.91752,706230.58708627
19,2022-01-22,0.91608,0.92998,0.73412,0.80303,468296.95140971884
20,2022-01-23,0.80055,0.95854,0.77694,0.90011,359837.20832104987
21,2022-01-24,0.906,0.9499,0.7502,0.89048,451795.2363942597
22,2022-01-25,0.88901,1.07,0.85155,0.99917,339408.3844330287
23,2022-01-26,0.99926,1.12,0.8902,1.0301,366536.28129944997
24,2022-01-27,1.0301,1.0834,0.9333,0.99782,130782.22462292016
25,2022-01-28,0.99691,1.12,0.96227,1.0462,53940.21723214999
26,2022-01-29,1.0452,1.0737,1.0,1.0495,37140.45876192
27,2022-01-30,1.0484,1.131,1.0362,1.0786,32429.360220439983
28,2022-01-31,1.0776,1.0951,1.0092,1.0906,57318.82703681999
29,2022-02-01,1.0928,1.15,1.0821,1.1494,64386.35424064002
30,2022-02-02,1.15,1.15,1.0002,1.0391,93481.31254910004
31,2022-02-03,1.0398,1.1509,0.97,1.0847,66729.50154475999
32,2022-02-04,1.0856,1.1943,1.0453,1.18,187709.82564033978
33,2022-02-05,1.1794,1.1872,1.1275,1.1432,71576.91389165999
34,2022-02-06,1.1436,1.1965,1.1358,1.195,37349.337529009965
35,2022-02-07,1.1933,1.3489,1.1599,1.3011,153409.45351156974
36,2022-02-08,1.3047,1.3444,1.2032,1.2719,123141.72074334996
37,2022-02-09,1.2705,1.3204,1.2522,1.2991,52230.324236230015
38,2022-02-10,1.2981,1.3244,1.1935,1.2099,53710.28239390001
39,2022-02-11,1.2122,1.256,1.0967,1.0971,52179.91986912998
40,2022-02-12,1.0965,1.1227,0.9475,1.044,137303.0117068999
41,2022-02-13,1.0462,1.0764,1.0,1.0075,32054.26951691003
42,2022-02-14,1.0061,1.0613,0.95891,1.0381,187166.99119019983
43,2022-02-15,1.0384,1.3313,1.0371,1.3313,134035.21764753008
44,2022-02-16,1.3323,1.4439,1.25,1.4348,184613.9559667397
45,2022-02-17,1.435,1.45,1.2314,1.2476,221190.5365162299
46,2022-02-18,1.2487,1.36,1.15,1.1904,141416.12821429022
47,2022-02-19,1.1887,1.219,1.1477,1.1597,49242.03003999999
48,2022-02-20,1.1602,1.1782,1.0704,1.1218,66880.39068402987
49,2022-02-21,1.1231,1.35,1.101,1.1267,433784.1422158102
50,2022-02-22,1.1281,1.2643,1.0875,1.2544,126733.80780916991
51,2022-02-23,1.2624,1.3358,1.14,1.1876,212071.3941997799
52,2022-02-24,1.1876,1.29,0.9745,1.1539,601158.3311429496
53,2022-02-25,1.1521,1.282,1.1404,1.2556,67100.37653497997
54,2022-02-26,1.2581,1.29,1.1937,1.2102,49567.19480623998
55,2022-02-27,1.2096,1.3199,1.1503,1.1647,162329.50735725998
56,2022-02-28,1.1766,1.357,1.1555,1.3168,134593.7118435899
57,2022-03-01,1.3167,1.38,1.2752,1.3549,111539.93490531997
58,2022-03-02,1.3699,1.413,1.311,1.3981,130897.95650631997
59,2022-03-03,1.392,1.43,1.33,1.4233,98406.24576834994
60,2022-03-04,1.412,1.415,1.2195,1.2587,88332.98121984996
61,2022-03-05,1.2598,1.3136,1.2308,1.2869,30877.097189859986
62,2022-03-06,1.2875,1.3152,1.19,1.19,33511.28264286
63,2022-03-07,1.1904,1.2666,1.1379,1.1864,57341.38943749001
64,2022-03-08,1.1862,1.2216,1.1704,1.1926,30257.367040160003
65,2022-03-09,1.19,1.292,1.1789,1.2215,44694.29343475002
66,2022-03-10,1.2186,1.2388,1.1399,1.1979,39697.95445557001
67,2022-03-11,1.1985,1.2039,1.1299,1.155,100144.96270840988
68,2022-03-12,1.1562,1.1823,1.1456,1.1481,12045.830020069996
69,2022-03-13,1.1473,1.1643,1.1005,1.1033,62763.90962782999
70,2022-03-14,1.1033,1.1402,1.0774,1.1341,35531.87252168003
71,2022-03-15,1.1329,1.1472,1.07,1.1318,35745.02996485007
72,2022-03-16,1.1309,1.1933,1.0834,1.1816,35373.07205532996
73,2022-03-17,1.1816,1.1964,1.1495,1.1548,34279.24321575001
74,2022-03-18,1.1588,1.17,1.1131,1.1294,23038.002010260007
75,2022-03-19,1.1306,1.1882,1.0926,1.1587,16718.717445360002
76,2022-03-20,1.1585,1.1654,1.1078,1.1195,35528.77339272999
77,2022-03-21,1.1178,1.1848,1.095,1.1673,32109.093207769994
78,2022-03-22,1.1652,1.2,1.14,1.1507,31004.23672271
79,2022-03-23,1.1511,1.2,1.101,1.1462,35634.31103996002
80,2022-03-24,1.1457,1.18,1.0946,1.1523,41156.48505524003
81,2022-03-25,1.1513,1.25,1.1413,1.158,52284.867871299975
82,2022-03-26,1.1586,1.184,1.1428,1.1502,16354.844395340006
83,2022-03-27,1.1483,1.2256,1.1431,1.224,42097.67947518999
84,2022-03-28,1.224,1.3243,1.2051,1.274,121149.41394665
85,2022-03-29,1.2717,1.319,1.2217,1.2812,69923.35910988004
86,2022-03-30,1.283,1.345,1.2471,1.3028,63821.45211215996
87,2022-03-31,1.304,1.345,1.21,1.2641,54066.210753670006
88,2022-04-01,1.2623,1.3252,1.2121,1.3086,40873.40401645004
89,2022-04-02,1.3067,1.3499,1.2752,1.2984,45069.96742106
90,2022-04-03,1.2978,1.3434,1.291,1.3329,21996.914974659983
91,2022-04-04,1.3305,1.3325,1.251,1.3076,40854.779579140006
92,2022-04-05,1.3057,1.3309,1.2723,1.2862,24041.98982244
93,2022-04-06,1.2841,1.2841,1.1801,1.1835,86230.66165782009
94,2022-04-07,1.181,1.2601,1.1449,1.172,42316.27069463996
95,2022-04-08,1.1701,1.2022,1.1198,1.1198,59677.86576733996
96,2022-04-09,1.1222,1.152,1.1103,1.1335,12863.440140319994
97,2022-04-10,1.1317,1.1652,1.1001,1.1189,29302.835222830003
98,2022-04-11,1.1164,1.1232,0.9857,1.0146,720674.6567905594
99,2022-04-12,1.0134,1.0698,1.0037,1.0491,55084.39366067994
100,2022-04-13,1.0489,1.098,1.0362,1.0856,63894.617187560056
101,2022-04-14,1.0862,1.1044,0.98782,1.0193,91072.21078905002
102,2022-04-15,1.0189,1.0426,0.99912,1.0391,26981.49485136001
103,2022-04-16,1.0391,1.0659,0.95817,0.97268,57579.95945087998
104,2022-04-17,0.97301,0.98021,0.92,0.92206,56421.217468609924
105,2022-04-18,0.92076,1.0845,0.875,1.0843,81939.91534949011
106,2022-04-19,1.0844,1.1087,1.0129,1.0599,55446.589897770034
107,2022-04-20,1.0585,1.0874,1.02,1.0351,43542.91827214
108,2022-04-21,1.0338,1.0465,0.96332,0.98294,68978.92281437005
109,2022-04-22,0.98195,1.0175,0.92,0.9422,47637.32014738999
110,2022-04-23,0.94361,0.97267,0.90129,0.91445,112153.6417184899
111,2022-04-24,0.91223,0.9363,0.88001,0.88664,37913.128099959984
112,2022-04-25,0.885,0.97257,0.84697,0.9556,165553.6892910198
113,2022-04-26,0.95602,0.97332,0.85706,0.86606,54806.415617889965
114,2022-04-27,0.86559,0.89771,0.82529,0.85182,87737.11334139007
115,2022-04-28,0.84879,0.88338,0.768,0.83408,100026.83035105017
116,2022-04-29,0.83432,0.85305,0.77802,0.78094,91901.83410607997
117,2022-04-30,0.78101,0.78867,0.68526,0.70579,76962.65570166003
118,2022-05-01,0.70615,0.73686,0.64714,0.72005,157349.76360044008
119,2022-05-02,0.71958,0.74933,0.69312,0.72862,37850.96275531997
120,2022-05-03,0.72858,0.74075,0.69786,0.71022,60083.021773659995
121,2022-05-04,0.71074,0.83213,0.70541,0.81001,146976.91149835
122,2022-05-05,0.81001,0.83026,0.6797,0.70858,80291.77894383996
123,2022-05-06,0.70732,0.71205,0.63699,0.66796,137964.91088494004
124,2022-05-07,0.66756,0.70537,0.61998,0.62924,80619.87167005007
125,2022-05-08,0.6294,0.63543,0.542,0.57344,288810.53441971017
126,2022-05-09,0.57454,0.58703,0.44222,0.44313,312354.9843388998
127,2022-05-10,0.44165,0.53062,0.41344,0.47449,279560.0983360804
128,2022-05-11,0.47398,0.517,0.36041,0.3803,498076.26058496063
129,2022-05-12,0.38079,0.3908,0.29003,0.33038,433732.7180178497
130,2022-05-13,0.33296,0.39605,0.32711,0.34963,266207.9713188698
131,2022-05-14,0.35128,0.37734,0.32421,0.37684,131853.86114378998
132,2022-05-15,0.37839,0.42322,0.34798,0.39541,71695.49751322992
133,2022-05-16,0.39453,0.40935,0.36048,0.36906,49203.03455297007
134,2022-05-17,0.36977,0.39436,0.3626,0.38451,42461.143716349994
135,2022-05-18,0.3865,0.39304,0.35713,0.35713,61245.79220204996
136,2022-05-19,0.35661,0.37312,0.33989,0.37197,62905.67144192992
137,2022-05-20,0.37312,0.37675,0.3445,0.3547,55495.06093599005
138,2022-05-21,0.35498,0.37426,0.34857,0.36909,82221.65876273999
139,2022-05-22,0.36949,0.38878,0.36008,0.38526,68294.64100075011
140,2022-05-23,0.38458,0.41048,0.37363,0.39,55095.166419889916
141,2022-05-24,0.39049,0.39388,0.36312,0.39001,48320.01489354998
142,2022-05-25,0.39067,0.39411,0.37059,0.37595,27728.06561141998
143,2022-05-26,0.3757,0.3797,0.34954,0.36491,27529.18247038001
144,2022-05-27,0.36787,0.36916,0.312,0.34761,159675.46428075977
145,2022-05-28,0.34742,0.36,0.33859,0.34834,26934.92863028996
146,2022-05-29,0.34794,0.36336,0.34154,0.35994,28840.57575956999
147,2022-05-30,0.35961,0.39198,0.35613,0.38011,66037.84788058001
148,2022-05-31,0.38145,0.4,0.38145,0.38512,31540.78665004
149,2022-06-01,0.3855,0.39297,0.36701,0.37389,30125.543400599996
150,2022-06-02,0.37363,0.37862,0.36411,0.37413,16911.38152908999
151,2022-06-03,0.37352,0.37909,0.3551,0.36234,45604.917630699994
152,2022-06-04,0.36157,0.36608,0.35029,0.35683,38308.39946321005
153,2022-06-05,0.35807,0.37699,0.35212,0.37,20948.62257369998
154,2022-06-06,0.37,0.39,0.36408,0.36616,66541.32116138004
155,2022-06-07,0.36652,0.38,0.36087,0.37569,20735.321408119977
156,2022-06-08,0.37493,0.37656,0.36547,0.3677,26852.48253174999
157,2022-06-09,0.36697,0.3795,0.36301,0.37477,21571.377302390003
158,2022-06-10,0.37432,0.38089,0.35261,0.35435,34802.88458327001
159,2022-06-11,0.35357,0.35642,0.32276,0.32537,97264.66669154009
160,2022-06-12,0.3252,0.32568,0.291,0.291,156698.71652155003
161,2022-06-13,0.291,0.291,0.24331,0.25792,376713.0185859901
162,2022-06-14,0.25911,0.2673,0.24301,0.24482,155759.33833202036
163,2022-06-15,0.24406,0.26748,0.21451,0.25628,180365.12445271955
164,2022-06-16,0.25633,0.26748,0.23388,0.24722,48354.64850731004
165,2022-06-17,0.24574,0.26647,0.24228,0.26229,181736.01475166995
166,2022-06-18,0.26252,0.26689,0.22083,0.23365,221024.17325245988
167,2022-06-19,0.2345,0.25741,0.22139,0.25588,110800.84216324997
168,2022-06-20,0.25713,0.30724,0.24424,0.26886,500774.14084707946
169,2022-06-21,0.26956,0.3271,0.26886,0.28047,514648.8499819
170,2022-06-22,0.28006,0.28359,0.26886,0.26996,134640.2665147201
171,2022-06-23,0.26996,0.29999,0.26887,0.28485,333006.3485068
172,2022-06-24,0.28485,0.29789,0.28181,0.29368,170146.07742130003
173,2022-06-25,0.29369,0.3,0.27955,0.29046,78971.03497847998
174,2022-06-26,0.28985,0.29606,0.27797,0.27802,75393.88660063995
175,2022-06-27,0.27801,0.28948,0.27486,0.27486,96607.74490219007
176,2022-06-28,0.27532,0.2856,0.26886,0.26886,77357.32570617984
177,2022-06-29,0.26886,0.29989,0.26003,0.2631,694177.2173316997
178,2022-06-30,0.26168,0.27195,0.25035,0.2683,168108.51723038004
179,2022-07-01,0.26916,0.27571,0.25617,0.25617,309739.0041536393
180,2022-07-02,0.25716,0.25816,0.24483,0.25347,56740.45339273003
181,2022-07-03,0.25629,0.2589,0.24766,0.25278,45185.39291437007
182,2022-07-04,0.25277,0.25923,0.24755,0.25656,66762.87176361003
183,2022-07-05,0.25632,0.26487,0.24881,0.26056,39951.055334519966
184,2022-07-06,0.2584,0.28331,0.25726,0.27904,84083.20498211001
185,2022-07-07,0.27904,0.29566,0.27552,0.29052,83084.26422579003
186,2022-07-08,0.28938,0.29841,0.28255,0.29699,80492.26882555985
187,2022-07-09,0.29441,0.29609,0.29031,0.29191,22145.57976935001
188,2022-07-10,0.29337,0.29548,0.2822,0.28221,10216.889269260002
