,date,open,high,low,close,volume
0,2020-10-13,1.0003,1.0008,0.9996,1.0001,908635.8589417691
1,2020-10-14,1.0002,1.0007,0.9999,1.0001,565069.3207475108
2,2020-10-15,1.0001,1.0008,1.0,1.0003,1111228.701616527
3,2020-10-16,1.0003,1.0015,0.9999,1.0001,1144439.8834179502
4,2020-10-17,1.0001,1.0006,1.0,1.0,388451.28285301005
5,2020-10-18,1.0,1.0004,1.0,1.0,311546.0008229803
6,2020-10-19,1.0001,1.0008,1.0,1.0001,916619.7358293383
7,2020-10-20,1.0001,1.0006,0.9999,1.0001,607450.8523649517
8,2020-10-21,1.0002,1.1,0.9951,1.0,2039327.242612673
9,2020-10-22,0.9997,1.009,0.9993,0.9995,973904.8000451013
10,2020-10-23,0.9995,1.006,0.9994,1.0,1262658.9132634983
11,2020-10-24,1.0,1.006,0.9996,0.9996,604140.0332085605
12,2020-10-25,0.9997,1.0049,0.9995,1.0,605757.3020353502
13,2020-10-26,1.0,1.00325,0.995,1.0001,1033906.3874200018
14,2020-10-27,1.0002,1.00195,0.998,1.0,1259048.0120834506
15,2020-10-28,0.9999,1.00101,0.9991,1.00024,1367209.6195659898
16,2020-10-29,1.0001,1.002,0.99904,0.9998,1644610.1808717367
17,2020-10-30,0.9998,1.00467,0.9997,0.9999,1801721.2044440408
18,2020-10-31,0.9999,1.00101,0.999,1.0002,770031.8300785192
19,2020-11-01,1.0,1.0025,0.998,1.0,441929.9723260801
20,2020-11-02,1.0001,1.005,0.9997,1.0001,2106212.8150194227
21,2020-11-03,1.0,1.08822,0.9998,0.9999,1424404.8825046797
22,2020-11-04,0.9998,1.00388,0.9998,1.0003,2086092.3518428355
23,2020-11-05,1.0004,1.0025,0.9998,0.9999,3565276.8169633797
24,2020-11-06,0.9999,1.0015,0.991,1.0002,3549066.8788122223
25,2020-11-07,1.0001,1.002,0.96,0.9999,2994087.0989439245
26,2020-11-08,0.9998,1.00096,0.9975,0.9997,1339246.1932943803
27,2020-11-09,0.9997,1.00195,0.9989,0.9997,1930574.7277333995
28,2020-11-10,0.9997,1.00109,0.999,1.0002,1496337.640449527
29,2020-11-11,1.001,1.00111,0.9995,1.0,1829136.154245758
30,2020-11-12,1.0001,1.001,0.999,0.9998,2856669.8205494033
31,2020-11-13,0.9998,1.00106,0.9995,0.9997,2089276.1229537337
32,2020-11-14,0.9997,1.00085,0.9995,1.0,1160257.17487147
33,2020-11-15,1.0,1.00077,0.9995,0.9999,790743.6350680995
34,2020-11-16,0.9999,1.0003,0.99932,0.9999,2246342.0738290963
35,2020-11-17,0.9999,1.00101,0.98,1.0001,3326583.961045426
36,2020-11-18,1.0001,1.003,0.9997,1.0001,4325037.029748264
37,2020-11-19,1.0,1.02,0.99974,1.0002,4677149.707593917
38,2020-11-20,1.0001,1.00252,0.96,0.9999,3482430.7266541873
39,2020-11-21,0.9999,1.0008,0.998,0.9997,1798266.9426247424
40,2020-11-22,0.9999,1.001,0.99,0.9999,2424838.370028993
41,2020-11-23,0.9999,1.04,0.99,0.9997,3226510.2709948155
42,2020-11-24,0.9997,1.03,0.965,0.9999,5164177.541443706
43,2020-11-25,0.9997,1.001,0.96501,1.0,3129146.2885549627
44,2020-11-26,1.0,1.02,0.998,0.9997,6564534.983814174
45,2020-11-27,0.9997,1.04,0.9992,0.9999,2878943.5832992094
46,2020-11-28,0.9999,1.00099,0.97529,1.0001,1773029.4993863322
47,2020-11-29,1.0,1.0003,0.9975,1.0,1082145.6398637597
48,2020-11-30,1.0001,1.00104,0.99944,1.00001,4055480.925878866
49,2020-12-01,1.0002,1.00999,0.97655,1.0,4084810.6295208465
50,2020-12-02,1.0,1.04,0.9984,1.0,3676766.977285985
51,2020-12-03,1.0,1.001,0.99929,0.9998,3263570.1656964733
52,2020-12-04,0.9998,1.00095,0.9992,0.9999,2933323.258765252
53,2020-12-05,0.9999,1.00101,0.999,0.9999,1433000.6290920582
54,2020-12-06,0.9998,1.00071,0.9998,1.0,1096660.8568775812
55,2020-12-07,1.0,1.0245,0.9998,0.9999,1977463.110484794
56,2020-12-08,1.0,1.005,0.9993,0.99997,2208058.478498492
57,2020-12-09,1.0,1.016,0.99943,1.0,4381380.271072225
58,2020-12-10,0.9999,1.00089,0.999,1.00001,3060329.243628504
59,2020-12-11,0.9999,1.00398,0.98712,0.9998,4321446.896566079
60,2020-12-12,1.00002,1.00101,0.98961,1.0,3083780.4036552673
61,2020-12-13,1.0,1.001,0.99901,0.9998,2241330.1014335495
62,2020-12-14,0.9998,1.00079,0.99949,1.0,2569297.2525731
63,2020-12-15,0.9999,1.00252,0.9987,0.9999,3144110.555245654
64,2020-12-16,1.0,1.00252,0.9993,0.9999,6674053.560035659
65,2020-12-17,0.9999,1.0007,0.9975,0.9999,8901076.002808714
66,2020-12-18,1.0,1.0005,0.99921,0.9999,3224667.8338253573
67,2020-12-19,1.0,1.0011,0.99935,1.0001,4421946.393107251
68,2020-12-20,1.0,1.003,0.99947,0.9999,4341137.811421779
69,2020-12-21,0.9999,1.00101,0.996,0.9999,8059221.516895349
70,2020-12-22,1.0,1.004,0.99922,1.0,7471111.066204268
71,2020-12-23,1.0,1.00554,0.9992,1.0,9170719.024390277
72,2020-12-24,1.0,1.00098,0.9992,1.0001,4381259.106409538
73,2020-12-25,1.0001,1.00094,0.9992,1.0001,2553238.3458671193
74,2020-12-26,1.0001,1.00073,0.9992,1.0,3635356.946280159
75,2020-12-27,0.9999,1.00101,0.999,1.0001,6476720.252171454
76,2020-12-28,0.9999,1.0027,0.999,0.9999,7031328.691537028
77,2020-12-29,0.9999,1.0099,0.999,0.9999,8971817.812664464
78,2020-12-30,1.0,1.0095,0.999,0.9999,8662306.247023761
79,2020-12-31,0.9999,1.00554,0.998,0.9997,7846569.447315946
80,2021-01-01,1.00006,1.001,0.998,0.9999,4153383.480091358
81,2021-01-02,0.9998,1.0027,0.9966,1.0002,13715572.924679112
82,2021-01-03,1.0002,1.015,0.98716,1.0,15732112.833459752
83,2021-01-04,0.9999,1.00257,0.995,1.0001,16162420.866885459
84,2021-01-05,1.0001,1.10002,0.9902,0.9999,9827363.32210802
