,date,open,high,low,close,volume
0,2020-10-13,1.0006,1.0015,1.0,1.0007,14849415.546915451
1,2020-10-14,1.0007,1.0011,1.0003,1.0008,14922114.319796637
2,2020-10-15,1.0008,1.0009,1.0,1.0008,15637963.471267924
3,2020-10-16,1.0007,1.0016,1.0003,1.0008,15800839.689828886
4,2020-10-17,1.0008,1.0009,1.0004,1.0004,3568773.581093965
5,2020-10-18,1.0005,1.0008,1.0004,1.0005,2697401.8597900043
6,2020-10-19,1.0004,1.001,0.9999,1.0006,19458617.28528293
7,2020-10-20,1.0007,1.0012,1.0003,1.001,13278371.298759988
8,2020-10-21,1.001,1.0025,1.0005,1.0018,20282913.329365134
9,2020-10-22,1.0019,1.002,1.0005,1.0009,17380233.474318504
10,2020-10-23,1.001,1.0014,1.0003,1.001,13885611.777280694
11,2020-10-24,1.001,1.0014,1.0006,1.0009,4822057.3492892645
12,2020-10-25,1.0009,1.0015,1.0005,1.0007,5504107.4946943205
13,2020-10-26,1.0007,1.0014,1.0004,1.0012,11829730.097909048
14,2020-10-27,1.0013,1.0013,1.0001,1.0007,17070992.75722383
15,2020-10-28,1.0006,1.0009,1.0,1.0006,14439232.124819256
16,2020-10-29,1.0007,1.0011,1.0,1.0005,14182352.324256089
17,2020-10-30,1.0004,1.0012,1.0,1.0007,17741348.851783108
18,2020-10-31,1.0007,1.001,1.0002,1.0009,6740012.4551113425
19,2020-11-01,1.0009,1.001,1.0004,1.0008,3771208.960148381
20,2020-11-02,1.0008,1.001,1.0002,1.0009,17134335.066493094
21,2020-11-03,1.0008,1.001,0.9992,1.0005,17210966.65569219
22,2020-11-04,1.0005,1.0015,1.0,1.0015,18942482.31558978
23,2020-11-05,1.0014,1.0019,1.0005,1.0013,33495942.54516759
24,2020-11-06,1.0013,1.0017,1.0004,1.0014,24574491.1742699
25,2020-11-07,1.0014,1.0016,0.9997,1.0012,16487700.790811524
26,2020-11-08,1.0012,1.0016,0.9999,1.0004,12845580.533664683
27,2020-11-09,1.0004,1.0013,1.0,1.0005,17302881.621681474
28,2020-11-10,1.0005,1.0015,1.0003,1.0014,20632755.780305047
29,2020-11-11,1.0015,1.0016,1.0007,1.0011,20847417.17823764
30,2020-11-12,1.0011,1.0018,1.0005,1.0008,29595290.029826894
31,2020-11-13,1.0008,1.0014,1.0004,1.001,26679884.852605235
32,2020-11-14,1.001,1.0011,1.0004,1.0009,10282629.18503971
33,2020-11-15,1.0009,1.0011,1.0,1.0008,9027607.461225867
34,2020-11-16,1.0007,1.001,1.0,1.0007,23437280.48072137
35,2020-11-17,1.0007,1.0014,0.9999,1.0011,27727671.52014623
36,2020-11-18,1.0012,1.12,1.0,1.001,32448161.86935063
37,2020-11-19,1.001,1.0013,1.0001,1.0011,21694205.66648433
38,2020-11-20,1.0011,1.0013,1.0,1.001,27756452.373731982
39,2020-11-21,1.0009,1.0013,1.0004,1.0006,16891276.012350515
40,2020-11-22,1.0006,1.002,0.9999,1.001,20077896.27157382
41,2020-11-23,1.0011,1.0012,1.0002,1.0007,39188282.34425947
42,2020-11-24,1.0007,1.009,1.0,1.0007,48400760.447130814
43,2020-11-25,1.0007,1.05,0.9998,1.0001,40943967.509318784
44,2020-11-26,1.0001,1.0042,0.9981,1.0008,43350613.784323044
45,2020-11-27,1.0008,1.0013,0.9992,1.0004,29569299.55351944
46,2020-11-28,1.0004,1.0018,1.0003,1.0007,18365468.37995283
47,2020-11-29,1.0007,1.0013,1.0003,1.0009,13199316.295820065
48,2020-11-30,1.0009,1.0012,0.9988,1.0005,45302700.609779686
49,2020-12-01,1.0007,1.0022,0.9995,1.0008,48142370.628347024
50,2020-12-02,1.0009,1.0009,0.9997,1.0007,46748843.386300445
51,2020-12-03,1.0006,1.0012,1.0001,1.0007,55082993.71100187
52,2020-12-04,1.0007,1.0012,0.9999,1.0002,47002643.37076371
53,2020-12-05,1.0002,1.0012,1.0001,1.0004,14415390.779957501
54,2020-12-06,1.0004,1.0009,1.0002,1.0006,9451363.60818177
55,2020-12-07,1.0006,1.0011,0.9996,1.0003,38613436.117449954
56,2020-12-08,1.0004,1.0004,0.998,0.9993,49839739.13041203
57,2020-12-09,0.9992,1.002,0.9989,1.0003,64926424.68766247
58,2020-12-10,1.0002,1.0004,0.999,1.0001,47624837.76513318
59,2020-12-11,1.0,1.0005,0.999,1.0,54838140.086039186
60,2020-12-12,1.0,1.0009,0.9997,1.0004,12532791.49181092
61,2020-12-13,1.0005,1.0009,0.9993,0.9993,16720255.987717489
62,2020-12-14,0.9993,1.0,0.9991,0.9997,29361017.166960847
