,date,open,high,low,close,volume
0,2020-10-13,1.002,1.0022,1.0013,1.0015,20418611.23361447
1,2020-10-14,1.0014,1.002,1.0011,1.0015,22513399.298226308
2,2020-10-15,1.0016,1.0019,1.0009,1.0011,19777156.99517276
3,2020-10-16,1.0011,1.0017,1.0009,1.0011,12184776.104239577
4,2020-10-17,1.0011,1.0016,1.0009,1.0011,7219513.873362681
5,2020-10-18,1.001,1.0015,1.0008,1.0011,8496601.393586742
6,2020-10-19,1.0011,1.0015,1.0007,1.001,15497190.07081465
7,2020-10-20,1.001,1.0016,1.0005,1.0011,22880522.249902602
8,2020-10-21,1.0011,1.002,1.0005,1.002,25720006.12607394
9,2020-10-22,1.0019,1.0021,1.0006,1.0011,20698604.274616614
10,2020-10-23,1.0011,1.0015,1.0003,1.0005,14529012.855151573
11,2020-10-24,1.0005,1.0015,1.0004,1.0009,10311164.087610982
12,2020-10-25,1.0009,1.0015,1.0005,1.0005,12469491.514952399
13,2020-10-26,1.0005,1.0012,1.0002,1.0006,18066736.43257232
14,2020-10-27,1.0007,1.001,0.99995,0.99995,19691179.556425925
15,2020-10-28,0.99995,1.0006,0.99981,0.99998,19348133.265598107
16,2020-10-29,0.99998,1.0003,0.99973,0.99989,18712694.995103806
17,2020-10-30,0.99989,1.0009,0.9998,1.0008,21008551.505890083
18,2020-10-31,1.0008,1.0009,0.99972,0.9998,21665912.16737468
19,2020-11-01,0.9998,1.0004,0.9997,0.99991,11000957.956967385
20,2020-11-02,0.99991,1.0006,0.9996,1.0002,19015530.029968202
21,2020-11-03,1.0002,1.0009,0.99956,1.0006,24292802.406323504
22,2020-11-04,1.0006,1.0012,0.99971,1.0006,21772859.38623869
23,2020-11-05,1.0006,1.0009,0.99912,0.99912,37695077.79200829
24,2020-11-06,0.99913,1.0003,0.99784,0.99941,59241155.74944035
25,2020-11-07,0.99942,1.0031,0.99891,1.0018,50146271.59518842
26,2020-11-08,1.0018,1.0022,1.0001,1.0014,19652517.23183959
27,2020-11-09,1.0014,1.002,1.0002,1.0004,30654623.969115157
28,2020-11-10,1.0004,1.0014,1.0,1.001,28421030.225714304
29,2020-11-11,1.001,1.002,1.0005,1.0012,29236937.409502894
30,2020-11-12,1.0012,1.0016,0.99971,0.99998,28083722.267199274
31,2020-11-13,0.99988,1.0009,0.9992,0.99954,32454937.487287898
32,2020-11-14,0.99955,1.0,0.998,0.99989,32298391.979434285
33,2020-11-15,0.99988,1.0009,0.99952,1.0006,21373047.815058153
34,2020-11-16,1.0006,1.001,0.99991,1.0002,29095361.4971648
35,2020-11-17,1.0002,1.0006,0.9987,1.0004,41505039.2278732
36,2020-11-18,1.0005,1.0014,0.99929,0.99971,67188859.54158726
37,2020-11-19,0.99992,1.0006,0.99928,1.0004,42237557.078408614
38,2020-11-20,1.0004,1.0011,0.99971,0.99998,55011936.289206944
39,2020-11-21,1.0001,1.0003,0.99781,0.99786,74725730.04403904
40,2020-11-22,0.99785,1.0006,0.99684,0.99826,80795409.74680278
41,2020-11-23,0.99826,1.0005,0.99771,0.99939,72280851.48715664
42,2020-11-24,0.9994,1.0016,0.99811,0.99879,88400417.27602309
43,2020-11-25,0.99878,1.0015,0.9984,0.9999,54920274.51545536
44,2020-11-26,0.9999,1.0044,0.99952,1.0033,98761693.77542911
45,2020-11-27,1.0032,1.0045,1.0012,1.0021,53028268.7977757
46,2020-11-28,1.0021,1.0026,1.0009,1.0012,28247305.49374235
47,2020-11-29,1.0012,1.0021,1.0004,1.0008,19254996.50518934
48,2020-11-30,1.0008,1.002,0.99991,1.0,46546649.85418077
49,2020-12-01,1.0,1.0035,0.99932,1.0022,60442643.141284496
50,2020-12-02,1.0022,1.0029,1.0,1.0005,54327317.48453944
51,2020-12-03,1.0005,1.0019,1.0,1.0009,42401140.693382725
52,2020-12-04,1.0009,1.0016,0.999,1.0002,54051207.36818835
53,2020-12-05,1.0001,1.0008,0.99961,1.0007,23848815.355021235
54,2020-12-06,1.0007,1.0017,1.0001,1.0016,27357288.455291416
55,2020-12-07,1.0016,1.0018,1.0005,1.0009,24523848.145379245
56,2020-12-08,1.001,1.0014,0.9997,1.0002,48745701.11169507
57,2020-12-09,1.0002,1.0424,1.0,1.0004,85280961.74013124
58,2020-12-10,1.0005,1.0024,0.9994,1.0005,37932202.108150184
59,2020-12-11,1.0004,1.002,1.0002,1.0011,44976932.02589464
60,2020-12-12,1.0012,1.0018,1.0003,1.0006,27587163.496449687
61,2020-12-13,1.0005,1.001,0.99958,1.0004,33872445.01736157
62,2020-12-14,1.0005,1.001,1.0,1.0002,21040616.37363572
63,2020-12-15,1.0002,1.0022,0.99998,1.0016,49402333.697104506
64,2020-12-16,1.0016,1.0022,0.99841,0.99866,80948842.08938713
65,2020-12-17,0.99866,1.0,0.9952,0.99894,114528765.56212799
66,2020-12-18,0.99893,1.0007,0.99879,1.0006,60554304.93820882
67,2020-12-19,1.0005,1.0014,0.99974,0.99974,44854459.161152005
68,2020-12-20,0.99974,1.0001,0.99871,0.99883,64656479.34838918
69,2020-12-21,0.99882,1.0002,0.99751,0.99949,85915491.25942013
70,2020-12-22,0.9994,1.0004,0.99772,0.99905,69744328.37123264
71,2020-12-23,0.99917,1.0008,0.99861,0.99882,110512104.64217402
72,2020-12-24,0.99896,1.0002,0.99861,1.0002,56892631.08733787
73,2020-12-25,1.0002,1.0014,0.99894,1.0005,76738291.05633464
74,2020-12-26,1.0006,1.0006,0.99791,0.99805,101794347.33956896
75,2020-12-27,0.99806,0.99929,0.99505,0.9989,98527427.45642196
76,2020-12-28,0.9989,0.99952,0.99661,0.99905,52729258.14038091
77,2020-12-29,0.99904,0.9997,0.99731,0.9975,56236480.48919582
