,date,open,high,low,close,volume
0,2020-10-13,0.115255,0.129972,0.080008,0.129972,2634.499999999999
1,2020-10-14,0.091607,0.091607,0.091607,0.091607,1.0
2,2020-10-15,0.128977,0.129,0.097696,0.129,88.9
3,2020-10-16,0.098474,0.129,0.098474,0.099619,164.9
4,2020-10-17,0.09962,0.128996,0.09962,0.099663,11.2
5,2020-10-19,0.128996,0.128996,0.100011,0.100011,32.5
6,2020-10-20,0.128776,0.128776,0.08929,0.08929,1.1
7,2020-10-21,0.089133,0.089133,0.089133,0.089133,1.0
8,2020-10-22,0.127454,0.127454,0.080896,0.080896,3749.2999999999997
9,2020-10-23,0.12736,0.12736,0.083941,0.100001,873.4
10,2020-10-24,0.085085,0.085085,0.085085,0.085085,0.1
11,2020-10-26,0.118325,0.12534,0.088195,0.09145,864.1000000000001
12,2020-10-27,0.092993,0.124602,0.092993,0.124515,2.0
13,2020-10-28,0.124382,0.124998,0.092733,0.092733,1221.3000000000002
14,2020-10-29,0.092735,0.1,0.086188,0.086189,3293.4
15,2020-10-30,0.086189,0.086189,0.079999,0.079999,1306.7999999999995
16,2020-10-31,0.079999,0.102942,0.068564,0.081042,3050.9999999999995
17,2020-11-01,0.102939,0.102939,0.081042,0.081042,1.5000000000000002
18,2020-11-02,0.102906,0.102941,0.081042,0.081184,0.6
19,2020-11-03,0.081042,0.102523,0.081042,0.09008,748.4999999999999
20,2020-11-04,0.096562,0.096562,0.090081,0.090081,111.5
21,2020-11-05,0.09008,0.097748,0.09008,0.097748,72.6
22,2020-11-06,0.097799,0.16,0.094,0.098,20014.699999999997
23,2020-11-07,0.100556,0.100556,0.090083,0.090083,405.7
24,2020-11-08,0.122756,0.122756,0.090109,0.090109,1.5
25,2020-11-09,0.091001,0.091001,0.091001,0.091001,33.0
26,2020-11-10,0.119971,0.119998,0.119961,0.119997,1153.4
27,2020-11-11,0.119989,0.145,0.092202,0.092202,2927.5
28,2020-11-12,0.137497,0.137497,0.094858,0.137167,66.3
29,2020-11-13,0.096371,0.096371,0.096371,0.096371,27.6
30,2020-11-14,0.096356,0.130254,0.096356,0.096794,463.30000000000035
31,2020-11-15,0.101266,0.101266,0.096358,0.096583,842.4999999999999
32,2020-11-16,0.097943,0.10594,0.097942,0.10594,1323.1000000000001
33,2020-11-17,0.097942,0.099107,0.05,0.094,17904.599999999995
34,2020-11-18,0.088943,0.088943,0.065127,0.07053,1905.0000000000002
35,2020-11-19,0.075,0.094977,0.070634,0.070634,1373.3
36,2020-11-20,0.07112,0.087006,0.07053,0.07053,250.89999999999998
37,2020-11-21,0.07053,0.086609,0.061188,0.061188,3102.0999999999995
38,2020-11-22,0.07,0.090681,0.07,0.09,6867.4
39,2020-11-23,0.070326,0.1,0.070303,0.075036,3044.399999999999
40,2020-11-24,0.089874,0.11,0.075819,0.11,7621.0
41,2020-11-25,0.11,0.119991,0.076607,0.10989,8804.1
42,2020-11-26,0.10499,0.109849,0.078904,0.081315,18549.499999999996
43,2020-11-27,0.103,0.10988,0.080423,0.095094,8599.9
44,2020-11-28,0.119804,0.1199,0.090871,0.092079,11110.9
45,2020-11-29,0.093002,0.093002,0.093002,0.093002,16.0
46,2020-11-30,0.119999,0.12,0.119999,0.12,172.10000000000002
47,2020-12-01,0.104467,0.104515,0.104357,0.104515,47.5
48,2020-12-03,0.100001,0.100001,0.084047,0.084047,749.0000000000001
49,2020-12-04,0.114724,0.114724,0.084549,0.084549,0.30000000000000004
50,2020-12-05,0.084903,0.084903,0.084903,0.084903,0.1
51,2020-12-06,0.114484,0.114612,0.078904,0.114612,1821.4999999999995
52,2020-12-07,0.114159,0.126,0.079033,0.126,1915.4999999999998
53,2020-12-08,0.079808,0.132563,0.079808,0.13,1456.6999999999994
54,2020-12-09,0.090025,0.131,0.090025,0.118195,549.2000000000002
55,2020-12-10,0.109918,0.12228,0.103456,0.108787,373.40000000000003
56,2020-12-11,0.125263,0.131,0.125263,0.130999,757.3
57,2020-12-13,0.115477,0.15102,0.104606,0.13,12188.1
58,2020-12-14,0.151018,0.15102,0.151018,0.15102,323.3
59,2020-12-15,0.15,0.15102,0.15,0.15102,128.2
60,2020-12-16,0.128662,0.12893,0.128662,0.12893,21.400000000000002
61,2020-12-17,0.129061,0.129128,0.115937,0.115937,1133.3999999999999
62,2020-12-19,0.144238,0.146789,0.144238,0.146789,682.2
63,2020-12-20,0.146789,0.146789,0.146789,0.146789,225.89999999999998
