,date,open,high,low,close,volume
0,2022-04-12,1.485,1.545,1.436,1.481,730898.2199999867
1,2022-04-13,1.482,1.65,1.466,1.51,1188093.510000003
2,2022-04-14,1.513,1.539,1.435,1.454,714244.8400000002
3,2022-04-15,1.453,1.518,1.453,1.503,372078.8900000005
4,2022-04-16,1.502,1.504,1.435,1.46,386559.7799999986
5,2022-04-17,1.461,1.485,1.415,1.426,545045.84
6,2022-04-18,1.427,1.52,1.389,1.503,763603.5499999977
7,2022-04-19,1.503,1.517,1.447,1.472,477352.0200000012
8,2022-04-20,1.471,1.492,1.41,1.443,626439.160000004
9,2022-04-21,1.44,1.473,1.383,1.399,741697.3800000014
10,2022-04-22,1.396,1.436,1.376,1.43,888566.3200000045
11,2022-04-23,1.431,1.435,1.367,1.377,577222.6599999964
12,2022-04-24,1.379,1.413,1.37,1.383,295840.77999999945
13,2022-04-25,1.379,1.437,1.321,1.38,918020.869999997
14,2022-04-26,1.382,1.393,1.289,1.329,1324018.9900000242
15,2022-04-27,1.328,1.4,1.277,1.363,1290996.6900000153
16,2022-04-28,1.362,1.403,1.309,1.323,759775.6900000043
17,2022-04-29,1.322,1.333,1.174,1.203,1568064.9699999962
18,2022-04-30,1.207,1.24,1.09,1.099,1684225.119999987
19,2022-05-01,1.099,1.198,1.059,1.182,1507825.259999981
20,2022-05-02,1.182,1.228,1.082,1.12,789721.8000000007
21,2022-05-03,1.116,1.162,1.075,1.124,695985.9599999989
22,2022-05-04,1.13,1.303,1.129,1.276,1331738.5600000098
23,2022-05-05,1.279,1.309,1.094,1.141,706104.2400000023
24,2022-05-06,1.141,1.174,1.11,1.164,239323.95999999932
25,2022-05-07,1.164,1.171,1.072,1.111,154692.81999999975
26,2022-05-08,1.112,1.112,1.047,1.079,448173.7799999985
27,2022-05-09,1.082,1.095,0.915,0.954,549920.0099999972
28,2022-05-10,0.95,1.095,0.889,0.972,510069.8299999992
29,2022-05-11,0.968,0.993,0.699,0.754,1122628.1800000016
30,2022-05-12,0.754,0.9,0.568,0.627,1567519.5399999807
31,2022-05-13,0.623,0.92,0.611,0.77,1556873.9100000104
32,2022-05-14,0.771,0.899,0.733,0.842,1457401.7300000011
33,2022-05-15,0.843,0.893,0.815,0.877,1073701.4099999855
34,2022-05-16,0.876,0.947,0.794,0.824,1437910.9900000151
35,2022-05-17,0.827,0.919,0.791,0.865,1146155.4799999956
36,2022-05-18,0.866,0.867,0.756,0.756,926456.0899999987
37,2022-05-19,0.758,0.825,0.756,0.789,977859.94
38,2022-05-20,0.79,0.815,0.735,0.775,1098156.7900000094
39,2022-05-21,0.776,0.821,0.759,0.774,804989.3299999991
40,2022-05-22,0.772,0.8,0.761,0.792,796874.9599999981
41,2022-05-23,0.79,0.815,0.777,0.783,1049304.669999994
42,2022-05-24,0.781,0.885,0.753,0.788,1085871.4299999988
43,2022-05-25,0.788,0.807,0.755,0.772,638689.3800000004
44,2022-05-26,0.771,0.808,0.726,0.746,1294734.5700000075
45,2022-05-27,0.745,0.759,0.721,0.726,1091017.109999994
46,2022-05-28,0.726,0.784,0.72,0.768,899619.6300000045
47,2022-05-29,0.77,0.785,0.748,0.763,554609.0899999993
48,2022-05-30,0.762,0.836,0.759,0.83,650782.7599999974
49,2022-05-31,0.828,1.15,0.793,1.016,3826441.4100000993
50,2022-06-01,1.017,1.375,0.929,0.94,9010249.640000021
51,2022-06-02,0.946,1.068,0.895,1.057,2077188.0400000068
52,2022-06-03,1.057,1.255,0.933,0.962,5282685.929999936
53,2022-06-04,0.962,1.004,0.932,0.945,930899.7700000007
54,2022-06-05,0.943,0.949,0.868,0.881,992684.5499999974
55,2022-06-06,0.883,0.935,0.859,0.86,873105.5899999999
56,2022-06-07,0.862,0.877,0.82,0.842,705986.5599999988
57,2022-06-08,0.841,0.856,0.818,0.839,383712.44999999943
58,2022-06-09,0.836,0.839,0.783,0.786,540274.52
59,2022-06-10,0.784,0.828,0.733,0.754,1464433.6400000018
60,2022-06-11,0.756,0.782,0.713,0.732,875458.2000000018
61,2022-06-12,0.734,0.779,0.673,0.678,1930375.1499999997
62,2022-06-13,0.679,0.679,0.576,0.598,4559159.390000029
63,2022-06-14,0.592,0.641,0.557,0.622,2380313.009999996
64,2022-06-15,0.626,0.634,0.54,0.631,2629978.7099999962
65,2022-06-16,0.634,0.649,0.5,0.51,3011187.9999999944
66,2022-06-17,0.506,0.564,0.495,0.547,2532851.239999993
67,2022-06-18,0.54,0.62,0.447,0.489,3175632.069999997
68,2022-06-19,0.489,0.577,0.464,0.545,1293205.1500000032
69,2022-06-20,0.545,0.565,0.505,0.533,1121843.690000002
70,2022-06-21,0.531,0.587,0.521,0.53,1269596.4999999958
71,2022-06-22,0.532,0.553,0.403,0.415,7349110.590000005
72,2022-06-23,0.417,0.477,0.408,0.425,4185640.2500000033
73,2022-06-24,0.428,0.432,0.4,0.419,2996260.82
74,2022-06-25,0.418,0.434,0.338,0.376,4236120.769999998
75,2022-06-26,0.376,0.392,0.352,0.353,1704615.6199999903
76,2022-06-27,0.352,0.37,0.3004,0.3057,4815822.229999998
77,2022-06-28,0.3056,0.314,0.2736,0.2892,5852147.020000005
78,2022-06-29,0.2887,0.4559,0.25,0.338,11689769.609999951
79,2022-06-30,0.3385,0.3588,0.2849,0.3084,7317640.210000132
80,2022-07-01,0.3078,0.3275,0.2501,0.2562,4377384.680000018
81,2022-07-02,0.2559,0.2812,0.2501,0.2617,3346717.36999999
82,2022-07-03,0.2618,0.273,0.2383,0.2525,2239728.119999997
83,2022-07-04,0.2523,0.2613,0.2409,0.254,2322679.2599999984
84,2022-07-05,0.2546,0.2614,0.2285,0.2377,1332039.3899999994
85,2022-07-06,0.238,0.2419,0.1855,0.2028,7756338.189999918
86,2022-07-07,0.2028,0.2123,0.1907,0.2008,2682527.2300000056
87,2022-07-08,0.201,0.2149,0.1907,0.1956,2268014.6299999948
88,2022-07-09,0.1956,0.2,0.1909,0.1917,1431818.730000001
89,2022-07-10,0.1922,0.1934,0.1742,0.1767,2504103.0800000005
90,2022-07-11,0.1766,0.1767,0.15,0.1528,2445804.7099999967
91,2022-07-12,0.152,0.4262,0.1406,0.338,58807927.55999993
92,2022-07-13,0.3392,1.0344,0.3025,0.5842,129151550.17000045
93,2022-07-14,0.5822,0.745,0.4386,0.4635,53152915.440002166
94,2022-07-15,0.4634,0.5827,0.42,0.4279,19591823.349999815
95,2022-07-16,0.4285,0.4665,0.3779,0.4306,15957777.099999951
96,2022-07-17,0.4309,0.431,0.3597,0.3722,14777903.619999945
97,2022-07-18,0.3725,0.72,0.3661,0.4538,54674432.50000019
98,2022-07-19,0.455,0.5984,0.405,0.4901,43361617.65999959
99,2022-07-20,0.49,0.524,0.4262,0.4382,11203675.070000008
100,2022-07-21,0.4378,0.5199,0.415,0.4501,11478558.049999956
101,2022-07-22,0.4488,0.4925,0.4307,0.4357,9118050.809999978
102,2022-07-23,0.4358,0.439,0.3843,0.396,6863698.260000119
103,2022-07-24,0.3966,0.4795,0.3895,0.4354,11134149.940000009
104,2022-07-25,0.4363,0.4925,0.4126,0.4154,17118431.549999822
105,2022-07-26,0.4164,0.419,0.3803,0.4032,5207689.5699999975
106,2022-07-27,0.4033,0.426,0.3882,0.3992,5251692.02999996
107,2022-07-28,0.399,0.4081,0.3892,0.4006,3988584.269999998
108,2022-07-29,0.3997,0.4278,0.3893,0.3987,4691408.949999998
109,2022-07-30,0.3987,0.3987,0.35,0.3622,4352693.720000019
110,2022-07-31,0.3617,0.3956,0.3501,0.3753,6089096.8
111,2022-08-01,0.3746,0.3866,0.3592,0.3619,3118489.240000009
112,2022-08-02,0.3621,0.3664,0.3388,0.3492,2772673.5699999956
113,2022-08-03,0.3483,0.3607,0.3464,0.3478,1681264.8800000031
114,2022-08-04,0.3479,0.4184,0.3413,0.3638,10202340.850000083
115,2022-08-05,0.364,0.3978,0.3628,0.3702,6289433.820000016
116,2022-08-06,0.3709,0.3753,0.3563,0.3584,2974546.990000003
117,2022-08-07,0.358,0.3661,0.3543,0.3573,1370323.7700000016
118,2022-08-08,0.3564,0.3667,0.3548,0.358,1483575.050000003
119,2022-08-09,0.358,0.3625,0.3327,0.35,3158901.349999999
120,2022-08-10,0.3499,0.3533,0.3324,0.3481,4210238.309999999
121,2022-08-11,0.3477,0.3576,0.3346,0.3441,4062020.3100000015
122,2022-08-12,0.3428,0.35,0.3248,0.3411,3415328.000000005
123,2022-08-13,0.3411,0.3741,0.3361,0.3405,5215253.749999981
124,2022-08-14,0.341,0.3469,0.3152,0.3259,3326211.710000009
125,2022-08-15,0.3259,0.3366,0.2983,0.3095,3884458.35000001
126,2022-08-16,0.3085,0.385,0.3013,0.3185,12322124.090000056
127,2022-08-17,0.318,0.3566,0.3082,0.3091,5000950.210000045
128,2022-08-18,0.3102,0.3291,0.2992,0.3,3214012.8200000087
129,2022-08-19,0.2996,0.3027,0.2606,0.2623,3666868.84000001
130,2022-08-20,0.2622,0.3229,0.2622,0.2724,9385323.040000115
131,2022-08-21,0.2727,0.2854,0.2675,0.2766,1730194.1000000036
132,2022-08-22,0.2765,0.2935,0.2624,0.2758,3178892.15999999
133,2022-08-23,0.2751,0.2822,0.2657,0.2725,1632341.4299999988
134,2022-08-24,0.2725,0.2883,0.2672,0.2705,2055733.7199999937
135,2022-08-25,0.2703,0.4437,0.2669,0.3521,18447486.610000152
136,2022-08-26,0.3516,0.744,0.3291,0.6928,96179835.79001018
137,2022-08-27,0.6908,0.7089,0.5055,0.523,38313846.940000385
138,2022-08-28,0.5243,0.5361,0.42,0.4391,17313106.740000613
139,2022-08-29,0.44,0.6196,0.4208,0.5563,21701700.249999866
140,2022-08-30,0.5552,0.6181,0.5066,0.5356,19886238.11
141,2022-08-31,0.5371,0.5863,0.495,0.5149,9631102.149999877
142,2022-09-01,0.5163,0.5332,0.472,0.5015,6084318.110000114
143,2022-09-02,0.5015,0.6181,0.4993,0.5591,14740493.430000104
144,2022-09-03,0.5572,0.5657,0.5294,0.5382,4622272.299999998
145,2022-09-04,0.5386,0.5517,0.5,0.5216,4639125.3400000045
146,2022-09-05,0.5221,0.6186,0.51,0.5697,11756536.179999972
147,2022-09-06,0.5676,0.9564,0.5656,0.7428,42567889.620001465
148,2022-09-07,0.7423,1.1371,0.7001,1.0099,40684609.14000188
149,2022-09-08,1.0111,1.1899,0.8428,0.9103,30064996.87999945
150,2022-09-09,0.9116,0.9444,0.7434,0.8251,17657365.480000302
151,2022-09-10,0.8251,1.0,0.812,0.9668,15428346.81000003
152,2022-09-11,0.9668,1.0645,0.8938,0.9315,12778250.869999975
153,2022-09-12,0.9315,0.9599,0.82,0.9074,13942973.359999925
154,2022-09-13,0.9076,1.04,0.79,0.8378,19616333.21999984
155,2022-09-14,0.8365,0.8548,0.6702,0.7375,12609726.479999881
156,2022-09-15,0.7367,0.85,0.625,0.7706,15377686.229999952
157,2022-09-16,0.7697,0.8557,0.698,0.7325,18454019.75000002
158,2022-09-17,0.7325,0.7464,0.6903,0.7154,5592127.59000003
159,2022-09-18,0.715,0.7422,0.5521,0.611,8420908.71000004
160,2022-09-19,0.6098,0.655,0.573,0.6286,8079352.909999979
161,2022-09-20,0.6286,0.7819,0.614,0.683,22091877.549999576
162,2022-09-21,0.683,0.7326,0.649,0.6571,9634500.51000015
163,2022-09-22,0.6564,0.6594,0.6174,0.6532,4908860.26999998
164,2022-09-23,0.6533,0.689,0.6133,0.6367,6107151.180000035
165,2022-09-24,0.6352,0.6536,0.626,0.6281,2386691.640000001
166,2022-09-25,0.6281,0.7732,0.626,0.6985,12492065.759999858
167,2022-09-26,0.6987,0.7246,0.6646,0.6833,6082311.140000035
168,2022-09-27,0.6834,0.7596,0.66,0.6721,14230803.469999872
169,2022-09-28,0.6702,0.6746,0.599,0.6407,6300625.720000031
170,2022-09-29,0.6407,0.6441,0.5909,0.615,4718314.360000074
171,2022-09-30,0.6154,0.6229,0.595,0.5982,3376426.520000005
172,2022-10-01,0.5984,0.5989,0.5678,0.5696,2489145.209999986
173,2022-10-02,0.5696,0.5796,0.5275,0.5412,4305967.459999986
174,2022-10-03,0.5417,0.6083,0.5313,0.5561,6260202.749999986
175,2022-10-04,0.5561,0.5689,0.5441,0.5543,3549854.0799999908
176,2022-10-05,0.5554,0.579,0.54,0.5501,2721434.140000006
177,2022-10-06,0.5495,0.5533,0.4972,0.5167,6779225.080000012
178,2022-10-07,0.5177,0.5249,0.4807,0.4854,4147223.790000003
179,2022-10-08,0.4855,0.5248,0.483,0.5036,4007868.739999987
180,2022-10-09,0.5038,0.5504,0.4995,0.5029,4070081.820000028
181,2022-10-10,0.5037,0.5085,0.4844,0.488,2183281.0400000005
182,2022-10-11,0.488,0.4883,0.4285,0.437,5093430.549999989
183,2022-10-12,0.4371,0.4418,0.4091,0.4129,3243237.1300000264
