,date,open,high,low,close,volume
0,2020-10-13,2.48095,2.5994,2.4579,2.5132,101559.91297886995
1,2020-10-14,2.5191,2.5278,2.4444,2.5069,60005.428654530035
2,2020-10-15,2.5105,2.7454,2.4456,2.7,115946.92853426996
3,2020-10-16,2.6897,3.3228,2.5567,2.9523,317609.2445638602
4,2020-10-17,2.94595,3.3911,2.9039,3.1888,249555.6507641798
5,2020-10-18,3.1781,3.2771,2.94699,3.0674,145793.43789119
6,2020-10-19,3.0659,3.0709,2.9114,2.94014,104564.03298034989
7,2020-10-20,2.90604,2.9172,2.8292,2.8727,91318.24345070004
8,2020-10-21,2.8855,3.1382,2.8648,3.09425,129060.98660418991
9,2020-10-22,3.113,3.2866,3.0731,3.2224,183252.1068999102
10,2020-10-23,3.2224,3.5795,3.1726,3.3658,138732.28061525984
11,2020-10-24,3.3703,3.4566,3.32535,3.4541,63701.66511637
12,2020-10-25,3.3952,3.46225,3.2316,3.2798,157102.30288389997
13,2020-10-26,3.2677,3.30092,3.08215,3.1801,144885.67983367998
14,2020-10-27,3.194,3.2458,3.09245,3.1573,69697.10032448998
15,2020-10-28,3.1641,3.1834,2.5,3.0545,122901.3867606299
16,2020-10-29,3.0484,3.1195,2.946,3.0238,56456.06777637998
17,2020-10-30,3.0127,3.4823,2.9654,3.215,79247.07736731003
18,2020-10-31,3.2,3.3138,3.2,3.2141,31794.57283263
19,2020-11-01,3.21535,3.2442,3.1784,3.2158,8032.402486679999
20,2020-11-02,3.2307,3.2696,3.1045,3.1248,65481.96051793999
21,2020-11-03,3.10393,3.1616,3.0535,3.1494,41790.298250179985
22,2020-11-04,3.1463,3.204,3.08673,3.1905,54352.95886597001
23,2020-11-05,3.1953,3.46005,3.1953,3.4386,72722.90934843002
24,2020-11-06,3.4184,3.744,3.4022,3.5789,182253.6655424698
25,2020-11-07,3.5789,3.7328,3.34753,3.46,94559.68806297999
26,2020-11-08,3.4632,3.5319,3.4211,3.5306,75620.61402557007
27,2020-11-09,3.5257,3.9674,3.39629,3.7843,132635.17955030018
28,2020-11-10,3.814,3.9328,3.7127,3.8572,54007.32377620002
29,2020-11-11,3.8283,3.8414,3.7108,3.7783,85169.85826763003
30,2020-11-12,3.7118,3.9595,3.67995,3.8985,172209.2279657699
31,2020-11-13,3.8942,4.1217,3.8942,4.1034,93547.39500667002
32,2020-11-14,4.083,4.4999,4.083,4.3021,85540.70443861993
33,2020-11-15,4.3161,4.4257,4.21135,4.37867,64776.73958614994
34,2020-11-16,4.35577,5.28571,4.35577,4.898,225487.31736844007
35,2020-11-17,4.89322,5.0186,4.72879,4.9443,96266.77439203992
36,2020-11-18,4.9587,5.3254,4.5597,5.2083,151787.43051342992
37,2020-11-19,5.1816,5.95,5.05,5.8389,190816.03788362007
38,2020-11-20,5.8862,7.1534,5.69164,6.7799,293757.52194059995
39,2020-11-21,6.77359,6.8844,6.0007,6.17765,134983.29169751008
40,2020-11-22,6.18907,7.7264,5.7615,7.05,293280.26610595
41,2020-11-23,7.1093,8.6766,7.0813,7.8904,300960.1336911296
42,2020-11-24,7.9054,8.2008,7.2841,7.5581,229177.85870328028
43,2020-11-25,7.5788,7.6797,6.4074,6.6934,163963.19103879985
44,2020-11-26,6.659,6.7611,5.5486,6.0088,189265.45272433996
45,2020-11-27,6.0962,6.9098,6.0538,6.4369,102145.85630879005
46,2020-11-28,6.429,6.8466,6.2932,6.5997,113181.25889551004
47,2020-11-29,6.6374,7.3346,6.44258,7.0393,104182.3974068801
48,2020-11-30,7.0636,7.28,6.8864,7.0667,91023.98899007995
49,2020-12-01,7.0815,7.0893,6.3776,6.8279,76064.06969685998
50,2020-12-02,6.809,7.54,6.6427,7.031,62080.111762260014
51,2020-12-03,7.0558,7.4728,6.8796,7.3766,51236.92374026994
52,2020-12-04,7.3957,7.8326,7.1462,7.284,122291.38691910019
53,2020-12-05,7.1806,8.389,7.1793,8.0927,104300.5317496802
54,2020-12-06,8.1492,8.6859,7.8693,8.4726,96193.91479968
55,2020-12-07,8.4317,9.3393,8.0859,8.9332,103996.09520121008
56,2020-12-08,8.9869,9.2039,7.6676,7.7851,148063.33082799002
57,2020-12-09,7.80301,8.9158,7.2449,8.5485,175001.06139511
58,2020-12-10,8.534,8.699,7.838,8.137,116460.79031329008
59,2020-12-11,8.075,8.3721,7.6754,8.1296,137405.91325533026
60,2020-12-12,8.198,8.88,8.135,8.455,77799.28714635999
61,2020-12-13,8.4868,8.94251,8.28,8.6497,72525.19541828998
62,2020-12-14,8.621,8.8165,8.3382,8.59008,40342.12748349998
63,2020-12-15,8.6469,8.66596,8.0608,8.1315,47005.057745289996
64,2020-12-16,8.1092,8.5735,7.9492,8.3336,63589.09518022996
65,2020-12-17,8.3531,8.5678,7.7854,7.8907,130786.48849767998
66,2020-12-18,7.9413,8.1988,7.536,7.7877,155309.85515952026
67,2020-12-19,7.8195,8.0,7.65,7.6707,48338.17535673004
68,2020-12-20,7.6599,7.7248,7.0882,7.19,71098.29991385
69,2020-12-21,7.1658,7.83999,6.4696,6.6587,107596.26962821992
70,2020-12-22,6.7306,7.6451,6.5542,7.1195,88264.98282392001
71,2020-12-23,7.1662,7.21,5.4338,5.8351,171073.17609222003
72,2020-12-24,5.8636,6.7112,5.43,6.4575,156236.18535921013
73,2020-12-25,6.5004,7.25,6.3774,6.6646,75504.18875001004
74,2020-12-26,6.6324,6.8166,6.25,6.3085,71923.069327
75,2020-12-27,6.3313,6.8868,6.0026,6.3636,128924.93624840007
76,2020-12-28,6.4097,6.7633,6.3051,6.6164,100275.6924921999
77,2020-12-29,6.6495,7.5633,6.5155,7.0109,139212.48555052004
