,date,open,high,low,close,volume
0,2020-10-13,0.040489,0.040489,0.035918,0.035918,9420.13859114
1,2020-10-14,0.039989,0.039989,0.03696,0.03696,1012.8710983
2,2020-10-15,0.037231,0.0395,0.037231,0.037231,9991.074740229998
3,2020-10-16,0.037242,0.037242,0.037231,0.037231,495.842
4,2020-10-18,0.037231,0.042299,0.037231,0.041512,9536.71178982
5,2020-10-19,0.0378,0.039,0.03688,0.03688,5040.59794815
6,2020-10-21,0.038001,0.048719,0.03688,0.041,15137.740263639998
7,2020-10-22,0.041,0.047106,0.03759,0.03759,20273.61395448
8,2020-10-23,0.03757,0.03757,0.03701,0.03701,9295.518559
9,2020-10-25,0.03701,0.03792,0.03701,0.03701,9334.8154
10,2020-10-26,0.039989,0.039989,0.039989,0.039989,1347.3
11,2020-10-27,0.03701,0.0399,0.036611,0.036611,4856.818898869999
12,2020-10-28,0.036277,0.036277,0.035519,0.035519,5439.56045203
13,2020-10-29,0.035519,0.035519,0.035519,0.035519,98.75962044
14,2020-10-31,0.036989,0.036989,0.0316,0.0316,6103.000000000001
15,2020-11-01,0.031013,0.031013,0.031013,0.031013,999.0369767
16,2020-11-02,0.031667,0.036789,0.0272,0.029403,46946.12120944
17,2020-11-03,0.029403,0.029403,0.029403,0.029403,109.0
18,2020-11-04,0.029403,0.02952,0.029403,0.02952,1172.942
19,2020-11-05,0.030075,0.030075,0.02904,0.029211,2763.8
20,2020-11-06,0.033489,0.03422,0.033378,0.03422,7740.791693409999
21,2020-11-08,0.035809,0.035809,0.03224,0.03224,599.40000003
22,2020-11-09,0.03224,0.03224,0.03224,0.03224,380.68
23,2020-11-10,0.035,0.03906,0.034372,0.035003,23768.744022120005
24,2020-11-11,0.0399,0.039969,0.034804,0.035003,3171.8718369999997
25,2020-11-12,0.034804,0.034804,0.0302,0.0302,4047.19556811
26,2020-11-13,0.038489,0.038874,0.034647,0.038874,14111.662115669998
27,2020-11-15,0.034,0.0359,0.031245,0.031245,21365.713364119998
28,2020-11-16,0.035789,0.035876,0.031245,0.031256,6789.668644699999
29,2020-11-17,0.034103,0.035489,0.034103,0.034103,4769.4961765
30,2020-11-18,0.035014,0.035014,0.034551,0.034551,13000.0
31,2020-11-19,0.033,0.03317,0.031004,0.03102,86928.66235369998
32,2020-11-20,0.03287,0.03417,0.032854,0.03417,69608.37159166
33,2020-11-21,0.03417,0.042814,0.0339,0.042814,55587.753718249995
34,2020-11-22,0.034621,0.036996,0.030411,0.031312,27720.28516834
35,2020-11-23,0.034361,0.036363,0.034361,0.035241,7711.4405678
36,2020-11-24,0.032123,0.039,0.032123,0.039,14552.16563413
37,2020-11-25,0.039,0.042,0.039,0.042,10143.30233478
38,2020-11-26,0.034343,0.0368,0.0343,0.0343,14234.16035341
39,2020-11-27,0.0368,0.0368,0.0355,0.0355,3809.25753459
40,2020-11-28,0.03536,0.03536,0.035067,0.035067,4449.33161205
41,2020-11-29,0.038799,0.04,0.025951,0.036,117811.17350344997
42,2020-11-30,0.03607,0.037,0.03461,0.03461,851.6566
43,2020-12-01,0.038,0.04,0.0379,0.038,5449.999999999999
44,2020-12-02,0.035717,0.044582,0.035717,0.043096,53671.324891439996
45,2020-12-03,0.042584,0.042584,0.0399,0.0399,28005.20384523
46,2020-12-04,0.0399,0.049998,0.037737,0.037737,137377.6681226
47,2020-12-05,0.042,0.055,0.040965,0.054208,26360.882648889998
48,2020-12-06,0.040053,0.048999,0.040042,0.040042,2603.4069585800003
49,2020-12-07,0.039843,0.04,0.035,0.039,18078.470784899997
50,2020-12-08,0.039,0.039008,0.035647,0.037511,2796.4
51,2020-12-09,0.035551,0.036562,0.0346,0.036562,8317.83131436
52,2020-12-10,0.036555,0.039,0.034251,0.034558,13956.80829604
53,2020-12-11,0.034558,0.03599,0.034558,0.03595,18804.39425852
54,2020-12-12,0.036614,0.039992,0.036614,0.039992,870.20378
55,2020-12-13,0.040997,0.041,0.039101,0.039101,2114.01507133
56,2020-12-14,0.036,0.04055,0.036,0.039505,32073.67661909001
57,2020-12-15,0.039505,0.04,0.038929,0.038929,14831.55564265
58,2020-12-16,0.036,0.04005,0.036,0.038777,5943.2696623
59,2020-12-17,0.04,0.04005,0.037082,0.039989,25216.12552255
60,2020-12-18,0.038062,0.041513,0.038001,0.0415,30977.340033739994
61,2020-12-19,0.04149,0.0432,0.04149,0.0432,15405.320974130002
62,2020-12-20,0.0425,0.04555,0.041043,0.041043,20635.89157109
63,2020-12-21,0.045,0.045,0.04,0.04,14097.112555260002
64,2020-12-22,0.044965,0.044965,0.039,0.0395,2016.1219589999998
65,2020-12-23,0.039,0.039,0.035831,0.035831,733.815032
66,2020-12-24,0.033439,0.033439,0.032232,0.032232,2526.6809741999996
67,2020-12-25,0.0358,0.0358,0.0358,0.0358,18449.829999999994
68,2020-12-26,0.0362,0.0369,0.034503,0.036267,3538.7329646
69,2020-12-27,0.03444,0.03597,0.031153,0.035703,15956.702561689997
70,2020-12-28,0.036789,0.040624,0.036789,0.040624,1006.900511
71,2020-12-29,0.0371,0.0371,0.0371,0.0371,400.5
72,2020-12-30,0.034798,0.037497,0.034798,0.037497,919.8860259999999
73,2020-12-31,0.031044,0.036982,0.029,0.029843,26948.06560324
74,2021-01-01,0.035486,0.0369,0.034958,0.034958,3646.506
75,2021-01-02,0.037,0.04,0.035459,0.036399,157703.09086394
76,2021-01-03,0.0363,0.037342,0.031717,0.036794,30568.220121420007
77,2021-01-04,0.036783,0.036799,0.029,0.036,54302.324547100005
78,2021-01-05,0.034754,0.0367,0.034754,0.035714,5257.99794571
79,2021-01-06,0.035017,0.037645,0.029654,0.037102,100793.06414828991
80,2021-01-07,0.037157,0.0399,0.037102,0.03875,221740.2900122999
81,2021-01-08,0.038866,0.049622,0.038705,0.04349,537691.0839094499
82,2021-01-09,0.043817,0.043817,0.039929,0.042843,145983.76000799995
83,2021-01-10,0.042651,0.042972,0.038576,0.039869,179336.17593874998
84,2021-01-11,0.03963,0.039869,0.03159,0.0361,264754.5256983297
85,2021-01-12,0.0351,0.037549,0.033765,0.037213,43493.438430869995
86,2021-01-13,0.03699,0.039571,0.03644,0.039394,164845.96834090998
87,2021-01-14,0.039158,0.040591,0.038634,0.039749,89563.43193912001
88,2021-01-15,0.039749,0.045696,0.038634,0.040653,321800.6089679095
89,2021-01-16,0.041329,0.045696,0.040775,0.042972,290537.1695405903
90,2021-01-17,0.043229,0.045016,0.040654,0.043751,102247.65180990999
91,2021-01-18,0.044014,0.044412,0.042269,0.04408,65329.12791718997
92,2021-01-19,0.044213,0.044479,0.043817,0.04382,49825.533137589984
93,2021-01-20,0.04362,0.04382,0.040349,0.043751,102767.57530849005
94,2021-01-21,0.043555,0.045151,0.039869,0.039869,151501.94313806025
95,2021-01-22,0.039809,0.045559,0.03699,0.045559,258228.6922561697
96,2021-01-23,0.045355,0.045491,0.042459,0.043882,83023.88643548999
97,2021-01-24,0.043685,0.043817,0.042779,0.043555,28558.54239174
98,2021-01-25,0.044213,0.045627,0.042,0.042843,117059.19095492
99,2021-01-26,0.042523,0.042715,0.038347,0.042017,104947.91630828008
100,2021-01-27,0.042017,0.042017,0.038402,0.039571,101017.27042939993
101,2021-01-28,0.039571,0.041952,0.03685,0.04164,79852.34184039001
102,2021-01-29,0.04189,0.043036,0.040776,0.041828,149942.45696531993
103,2021-01-30,0.041828,0.041952,0.039571,0.041021,55363.91373232001
104,2021-01-31,0.041082,0.041391,0.039749,0.040715,66860.70705001
105,2021-02-01,0.040715,0.040715,0.039217,0.039927,133484.95862474013
106,2021-02-02,0.040108,0.042972,0.039394,0.042459,120872.71983466006
107,2021-02-03,0.042714,0.045969,0.04246,0.044279,240795.28846561984
108,2021-02-04,0.044279,0.045491,0.0431,0.043425,90969.91953651998
109,2021-02-05,0.043555,0.046804,0.043,0.046317,267370.79748754
110,2021-02-06,0.046556,0.048655,0.045902,0.047228,305292.7561931204
111,2021-02-07,0.047086,0.048209,0.043685,0.044546,335342.1071006797
112,2021-02-08,0.044147,0.048,0.044015,0.047797,297431.69851596997
113,2021-02-09,0.04794,0.0527,0.047086,0.04992,416960.99209390953
114,2021-02-10,0.049995,0.054711,0.04903,0.051981,455926.5343547898
115,2021-02-11,0.051827,0.082386,0.051447,0.063771,975760.3573469294
116,2021-02-12,0.063771,0.089988,0.055,0.064409,795307.7203368822
117,2021-02-13,0.064506,0.08,0.06,0.068903,871277.1882391594
118,2021-02-14,0.068903,0.069007,0.061949,0.064409,271695.6415261603
119,2021-02-15,0.064313,0.074155,0.056302,0.074044,512371.4687183703
120,2021-02-16,0.074155,0.08885,0.069945,0.072181,643851.8659600893
121,2021-02-17,0.072507,0.078265,0.07,0.074266,160793.08266340996
122,2021-02-18,0.075956,0.087186,0.073052,0.082235,506097.7999210288
123,2021-02-19,0.082235,0.088947,0.077218,0.087841,496955.1023949901
124,2021-02-20,0.087579,0.088947,0.074,0.079927,291230.72289652994
125,2021-02-21,0.079687,0.1021,0.079449,0.095391,465677.6695064113
126,2021-02-22,0.094537,0.10988,0.07092,0.10023,501750.87255750154
127,2021-02-23,0.1018,0.10305,0.061,0.077565,661582.44687851
128,2021-02-24,0.078266,0.086,0.072725,0.079448,467576.73139121966
129,2021-02-25,0.079567,0.084865,0.075728,0.075728,225379.24493348005
130,2021-02-26,0.075615,0.077449,0.070365,0.07407,114547.78078628994
131,2021-02-27,0.074378,0.08199,0.074378,0.079448,106404.92003942994
132,2021-02-28,0.079687,0.080166,0.067473,0.072398,291866.91121793014
133,2021-03-01,0.072507,0.086146,0.070789,0.077915,237198.35136168016
134,2021-03-02,0.078032,0.08273,0.075642,0.08199,151531.57898867
135,2021-03-03,0.081867,0.10535,0.081012,0.10269,630756.85613439
136,2021-03-04,0.10194,0.12822,0.096397,0.1175,1044782.5720888913
137,2021-03-05,0.11663,0.12822,0.11034,0.11716,267768.37179205037
138,2021-03-06,0.1168,0.11723,0.1021,0.11476,153135.37015386
139,2021-03-07,0.11442,0.1293,0.11255,0.12348,306362.8968117703
140,2021-03-08,0.1242,0.169,0.12348,0.16669,456655.46181586105
141,2021-03-09,0.16794,0.18522,0.14542,0.17479,427683.6770992713
142,2021-03-10,0.17479,0.18101,0.155,0.17091,202663.7483525496
143,2021-03-11,0.17262,0.19427,0.15622,0.18512,279370.3493265396
144,2021-03-12,0.18558,0.26261,0.18146,0.24858,707090.102564781
145,2021-03-13,0.24858,0.32877,0.22,0.28946,1060337.7287010879
146,2021-03-14,0.28516,0.32,0.25359,0.28588,364867.6945618903
147,2021-03-15,0.28588,0.30504,0.21,0.28232,318272.59212634113
148,2021-03-16,0.27952,0.29091,0.23,0.24672,222981.28054574973
149,2021-03-17,0.24672,0.25232,0.19,0.24549,540966.5944881814
150,2021-03-18,0.24733,0.26663,0.22606,0.23705,194416.3636145697
151,2021-03-19,0.23824,0.25486,0.21,0.24,161984.78048236994
152,2021-03-20,0.23944,0.24063,0.21,0.21612,193480.4695974997
153,2021-03-21,0.21933,0.26065,0.20509,0.23063,206978.71000641963
154,2021-03-22,0.23005,0.26999,0.21559,0.22494,354996.82639232033
155,2021-03-23,0.22494,0.23954,0.19221,0.23235,315370.81090661994
156,2021-03-24,0.22949,0.26,0.20923,0.21345,178689.14655029983
157,2021-03-25,0.21612,0.23291,0.20443,0.22325,167239.07821390984
158,2021-03-26,0.22381,0.23587,0.21505,0.23481,121208.36328309037
159,2021-03-27,0.23646,0.2599,0.213,0.2517,151141.09868382977
160,2021-03-28,0.2517,0.27,0.23,0.26591,115246.52321314011
161,2021-03-29,0.26657,0.28,0.25296,0.27399,156047.09306591988
162,2021-03-30,0.27331,0.3249,0.26591,0.29815,179155.44908525996
163,2021-03-31,0.29826,0.32951,0.28272,0.30887,143500.5822683401
164,2021-04-01,0.30657,0.31042,0.27051,0.31,184693.94737077007
165,2021-04-02,0.30734,0.31,0.28802,0.30504,66433.18366993994
166,2021-04-03,0.30505,0.32877,0.254,0.26327,225862.9516454905
167,2021-04-04,0.26131,0.28515,0.25,0.27951,94531.87621088997
168,2021-04-05,0.27812,0.27812,0.24251,0.24549,148403.87708990014
169,2021-04-06,0.24549,0.27059,0.21398,0.23529,270555.2390887704
170,2021-04-07,0.2347,0.23529,0.17281,0.20355,470584.1358472211
171,2021-04-08,0.20203,0.25422,0.19728,0.22606,266154.0024793799
172,2021-04-09,0.22719,0.25198,0.21174,0.24244,160603.52089374952
173,2021-04-10,0.24487,0.27,0.23179,0.2517,144484.53423349006
174,2021-04-11,0.25044,0.25107,0.21884,0.23765,104502.73765561996
175,2021-04-12,0.24549,0.3,0.22891,0.26724,244339.32583239023
176,2021-04-13,0.267,0.27399,0.23647,0.25935,168004.26332584
177,2021-04-14,0.25742,0.25742,0.22438,0.24003,101345.46170327996
178,2021-04-15,0.24184,0.25899,0.22948,0.24982,95795.97047538009
179,2021-04-16,0.24982,0.24982,0.22345,0.24004,77747.11380913001
180,2021-04-17,0.23647,0.259,0.221,0.23528,159731.60882756952
181,2021-04-18,0.23646,0.24003,0.198,0.21027,164943.5060272899
182,2021-04-19,0.21185,0.21939,0.19171,0.20254,110105.84121606994
183,2021-04-20,0.20405,0.229,0.17876,0.21667,158694.85936469995
184,2021-04-21,0.21667,0.22048,0.19656,0.20819,102126.05904650006
185,2021-04-22,0.20663,0.20767,0.16989,0.17654,173466.38186956017
186,2021-04-23,0.17654,0.17743,0.13041,0.16137,217988.4981586803
187,2021-04-24,0.16218,0.17306,0.15544,0.17243,62319.97782279001
188,2021-04-25,0.17261,0.17743,0.15935,0.16339,58523.72542582005
189,2021-04-26,0.16302,0.18605,0.16302,0.18241,90733.61207795
190,2021-04-27,0.18465,0.19704,0.18373,0.19704,65668.06663947001
191,2021-04-28,0.19704,0.22381,0.191,0.22381,64827.99569538998
192,2021-04-29,0.22437,0.225,0.19302,0.21139,68128.58887397003
193,2021-04-30,0.21291,0.225,0.20053,0.21884,113260.93972013998
194,2021-05-01,0.21084,0.231,0.2108,0.22048,24970.666577110005
195,2021-05-02,0.22437,0.238,0.21559,0.238,30219.70576869002
196,2021-05-03,0.238,0.2405,0.21778,0.22326,53724.480263440026
197,2021-05-04,0.22214,0.23294,0.20461,0.21559,52774.23514776997
198,2021-05-05,0.21398,0.23163,0.20407,0.21939,59738.66919120001
199,2021-05-06,0.22103,0.2255,0.206,0.20975,23682.892862800003
200,2021-05-07,0.20975,0.21398,0.133,0.18558,209565.13227161052
201,2021-05-08,0.1879,0.19557,0.18604,0.18885,20432.390552460005
202,2021-05-09,0.19218,0.19803,0.16504,0.18933,81253.21492820997
203,2021-05-10,0.19411,0.20355,0.1818,0.18419,28270.98427057999
204,2021-05-11,0.18191,0.18328,0.16504,0.17133,99034.95060187997
205,2021-05-12,0.17262,0.19232,0.16837,0.17177,53905.72951281
206,2021-05-13,0.16837,0.20508,0.15161,0.18558,239734.65000917105
207,2021-05-14,0.18558,0.20457,0.17876,0.19412,38318.63466509
208,2021-05-15,0.19412,0.198,0.16837,0.16879,24626.071192859996
209,2021-05-16,0.16963,0.17921,0.1475,0.15621,76688.56626101001
210,2021-05-17,0.15739,0.16504,0.14999,0.15,34434.54243605999
211,2021-05-18,0.15,0.1539,0.10224,0.14492,179000.8238927
212,2021-05-19,0.14386,0.14386,0.08,0.12415,321301.5524643401
213,2021-05-20,0.12353,0.12384,0.11011,0.11927,69771.24053527998
214,2021-05-21,0.11839,0.12352,0.10687,0.10714,46840.92330780999
215,2021-05-22,0.108,0.1257,0.10398,0.12079,132490.08302094007
216,2021-05-23,0.11989,0.12,0.092703,0.093427,62256.772508609996
217,2021-05-24,0.093426,0.1045,0.093426,0.10372,48763.678490430015
218,2021-05-25,0.1045,0.116,0.10398,0.11067,42824.252118209966
219,2021-05-26,0.11121,0.11634,0.11011,0.11634,33667.49671102999
220,2021-05-27,0.11634,0.12049,0.10984,0.11,29602.945985149992
221,2021-05-28,0.11,0.11,0.09624,0.09818,39310.94706725
222,2021-05-29,0.098918,0.099168,0.093167,0.093167,26180.293767760006
223,2021-05-30,0.093866,0.098672,0.092935,0.096481,39112.38986778999
224,2021-05-31,0.096479,0.097204,0.095761,0.097204,9123.02625314
225,2021-06-01,0.097448,0.10295,0.097,0.10216,57981.780158650006
226,2021-06-02,0.10268,0.103,0.10216,0.1024,8171.046537
227,2021-06-03,0.10166,0.10876,0.10166,0.10876,74212.96564252999
228,2021-06-04,0.10795,0.10876,0.10476,0.10687,46888.22289692999
229,2021-06-05,0.10686,0.1093,0.10686,0.10795,15156.74069807
230,2021-06-06,0.10876,0.1093,0.10822,0.1093,10027.208346959998
231,2021-06-07,0.1093,0.11898,0.10849,0.11577,83017.94248117002
232,2021-06-08,0.11519,0.11576,0.10768,0.109,87637.22471100005
233,2021-06-09,0.10822,0.10849,0.10714,0.10849,13680.008160000001
234,2021-06-10,0.10876,0.109,0.10633,0.10712,22262.721277380006
235,2021-06-11,0.1074,0.1074,0.1066,0.1066,700.0
236,2021-06-12,0.1066,0.1066,0.1058,0.1066,10603.103621
237,2021-06-13,0.1066,0.109,0.1058,0.109,127822.13
238,2021-06-14,0.109,0.1115,0.10822,0.10957,132521.64128689995
239,2021-06-15,0.10957,0.11,0.10822,0.10876,15264.668085000001
240,2021-06-16,0.1083,0.1083,0.10795,0.10822,2089.616595
241,2021-06-17,0.10795,0.10985,0.10795,0.10903,15284.25259953
242,2021-06-18,0.10822,0.10904,0.10242,0.1029,81617.080288
243,2021-06-19,0.1029,0.10476,0.1029,0.10423,16630.948018
244,2021-06-20,0.105,0.10607,0.105,0.10607,15948.55073207
245,2021-06-21,0.106,0.106,0.1019,0.1019,35384.16828947
246,2021-06-22,0.1019,0.10243,0.085,0.085,123849.89786268004
247,2021-06-23,0.09327,0.098672,0.092703,0.092703,47839.358417630014
248,2021-06-24,0.092703,0.09818,0.085,0.094807,35581.72771127001
249,2021-06-25,0.094807,0.094807,0.091097,0.091097,27099.327100970004
250,2021-06-26,0.091097,0.094807,0.081904,0.0915,12863.932408620003
251,2021-06-27,0.0915,0.095998,0.08,0.093,19217.375415179995
252,2021-06-28,0.093,0.095381,0.08,0.082062,6626.33288342
253,2021-06-29,0.082026,0.089741,0.080201,0.086442,37212.33886299999
254,2021-06-30,0.086659,0.086659,0.0841,0.0841,6027.775439000001
255,2021-07-01,0.084522,0.095381,0.0825,0.087528,43656.69298520002
256,2021-07-02,0.087747,0.10243,0.0825,0.09749,60619.922103199984
257,2021-07-03,0.09749,0.09749,0.094337,0.094337,6131.11329951
258,2021-07-04,0.095045,0.12602,0.08251,0.12582,133661.1355649999
259,2021-07-05,0.12602,0.14278,0.12588,0.13481,204802.76684578
260,2021-07-06,0.13413,0.13413,0.13083,0.13149,23802.052456110006
261,2021-07-07,0.13247,0.14278,0.13214,0.13856,109533.87855110002
262,2021-07-08,0.13856,0.14572,0.12793,0.12889,53930.69640803
263,2021-07-09,0.12889,0.12953,0.12,0.12953,34122.60783502999
264,2021-07-10,0.12857,0.12921,0.12761,0.12793,1777.5607997
265,2021-07-11,0.12761,0.13,0.1257,0.13,6900.977415729996
266,2021-07-12,0.12921,0.13,0.12353,0.12696,10693.17783095
267,2021-07-13,0.1276,0.12953,0.12539,0.12633,36802.27259050998
268,2021-07-14,0.12633,0.13381,0.11577,0.13381,66986.46562216996
269,2021-07-15,0.1333,0.13685,0.12601,0.12792,26843.867169839992
270,2021-07-16,0.12824,0.12857,0.12109,0.12477,10484.269524399995
271,2021-07-17,0.12477,0.12477,0.12019,0.12291,8774.686096720001
272,2021-07-18,0.12321,0.12602,0.12199,0.12384,8632.367886490001
