,date,open,high,low,close,volume
0,2021-08-12,17.3,17.38,16.21,16.61,132384.4990000002
1,2021-08-13,16.67,18.84,16.59,17.82,251916.4829999992
2,2021-08-14,17.83,18.21,16.88,17.42,99978.55899999996
3,2021-08-15,17.45,19.81,16.56,19.29,305313.49799999996
4,2021-08-16,19.29,25.3,19.16,22.22,677515.9620000062
5,2021-08-17,22.22,30.38,21.19,25.33,753814.3680000202
6,2021-08-18,25.31,31.99,22.9,30.68,716014.6780000036
7,2021-08-19,30.78,33.5,28.79,29.38,640466.764000006
8,2021-08-20,29.38,31.53,28.53,30.68,412392.88700000395
9,2021-08-21,30.7,30.73,27.09,27.6,225539.92599999954
10,2021-08-22,27.5,28.86,26.4,27.95,204283.97400000124
11,2021-08-23,28.03,30.3,27.18,29.94,215323.45699999906
12,2021-08-24,30.03,36.14,29.5,29.69,859800.6580000273
13,2021-08-25,29.76,31.47,28.34,30.13,317575.83000000013
14,2021-08-26,30.12,30.12,26.0,27.0,505879.35499999893
15,2021-08-27,26.93,33.0,26.39,32.7,327774.1749999993
16,2021-08-28,32.61,35.91,30.44,35.07,374159.9470000028
17,2021-08-29,35.09,37.22,33.27,34.02,237481.09399999777
18,2021-08-30,34.07,36.0,32.02,33.42,421452.04200000217
19,2021-08-31,33.39,34.6,31.32,32.29,275750.8560000069
20,2021-09-01,32.29,34.0,30.82,31.79,408935.6170000012
21,2021-09-02,31.75,33.98,31.34,33.1,306068.3330000014
22,2021-09-03,33.03,34.71,30.97,31.77,422287.610000003
23,2021-09-04,31.77,34.8,31.05,31.45,165964.2219999991
24,2021-09-05,31.45,35.37,31.14,34.5,200069.08999999776
25,2021-09-06,34.5,35.1,30.5,32.33,263878.39099999896
26,2021-09-07,32.37,33.0,23.0,27.95,790195.428000012
27,2021-09-08,27.95,32.1,24.93,29.45,576557.8269999914
28,2021-09-09,29.52,31.46,28.23,30.57,389461.9420000031
29,2021-09-10,30.57,43.99,30.55,43.38,1412196.3930000046
30,2021-09-11,43.42,44.67,37.58,39.27,417661.16300003347
31,2021-09-12,39.28,43.51,37.88,39.27,432618.0310000195
32,2021-09-13,39.27,39.61,33.72,37.25,310027.2530000186
33,2021-09-14,37.25,38.23,34.62,35.68,350081.5340000102
34,2021-09-15,35.71,37.67,34.98,36.73,230185.05099999285
35,2021-09-16,36.69,39.86,35.21,37.51,372391.7530000003
