,date,open,high,low,close,volume
0,2020-10-13,0.0697246,0.0736903,0.065848,0.065848,6040
1,2020-10-14,0.0658479,0.065848,0.0658479,0.065848,3284
2,2020-10-15,0.0696717,0.0696717,0.0609755,0.0609755,233
3,2020-10-16,0.0601681,0.0601681,0.0558177,0.0558177,302
4,2020-10-17,0.0624224,0.0659727,0.0623046,0.0623046,46
5,2020-10-18,0.0589518,0.0589518,0.0589517,0.0589517,3020
6,2020-10-21,0.0560001,0.057064,0.0499375,0.0527777,4877
7,2020-10-22,0.0527777,0.0527777,0.05,0.05,1368
8,2020-10-23,0.051,0.0567085,0.046,0.0567085,1883
9,2020-10-24,0.0527943,0.0527943,0.0527777,0.0527777,6402
10,2020-10-25,0.0527777,0.0527777,0.0447122,0.0503,9831
11,2020-10-26,0.0503,0.051,0.0503,0.051,1392
12,2020-10-28,0.0472722,0.0473397,0.0445,0.0473397,138
13,2020-10-29,0.0500319,0.0528775,0.0472502,0.0472502,3756
14,2020-10-30,0.0447076,0.0473395,0.04,0.0473395,127
15,2020-11-01,0.0473396,0.0473397,0.0473396,0.0473397,32
16,2020-11-02,0.047,0.047,0.047,0.047,1014
17,2020-11-03,0.0493301,0.0558849,0.0468287,0.0558849,19458
18,2020-11-04,0.0571363,0.0778813,0.0571363,0.0778813,1577
19,2020-11-05,0.0799999,0.0919396,0.0623046,0.0623046,43235
20,2020-11-06,0.065029,0.0735351,0.0589517,0.0600367,23934
21,2020-11-07,0.065,0.0735352,0.065,0.0667706,12359
22,2020-11-08,0.0660669,0.07,0.0600372,0.0659727,4867
23,2020-11-09,0.0659722,0.07,0.0602954,0.0659727,26807
24,2020-11-10,0.0697247,0.0825987,0.06959,0.0706259,30492
25,2020-11-11,0.0756111,0.0778811,0.0709,0.0778811,5866
26,2020-11-12,0.0778813,0.0919396,0.077,0.0868279,18856
27,2020-11-13,0.0868278,0.09933,0.065848,0.0846243,136704
28,2020-11-14,0.0902342,0.1055658,0.0758478,0.1016228,94391
29,2020-11-15,0.0899997,0.0899997,0.074001,0.0741,19279
30,2020-11-16,0.0741,0.0788617,0.0716087,0.078475,1799
31,2020-11-17,0.0722278,0.0813422,0.0676551,0.067891,1599
32,2020-11-18,0.0680347,0.0681081,0.0651404,0.065192,6225
33,2020-11-19,0.0651002,0.0708933,0.0651,0.0708933,7596
34,2020-11-20,0.0676786,0.0810281,0.0676785,0.0715902,18548
35,2020-11-21,0.0813658,0.0883557,0.0703864,0.0703864,6523
36,2020-11-22,0.0858234,0.0858234,0.0659104,0.0673823,46094
37,2020-11-23,0.0682599,0.0811568,0.065715,0.065715,383
38,2020-11-24,0.080966,0.0809661,0.065,0.0779997,12106
39,2020-11-25,0.07,0.07,0.0632686,0.0635898,4805
40,2020-11-26,0.063054,0.0773439,0.0567269,0.0578001,46333
41,2020-11-27,0.0596916,0.065825,0.0596916,0.065825,445
42,2020-11-28,0.0584488,0.1,0.0578,0.1,46093
43,2020-11-29,0.1,0.1455884,0.1,0.1348852,292630
44,2020-11-30,0.1348851,0.1455884,0.0936575,0.1037,190378
45,2020-12-01,0.1121111,0.1956285,0.1040099,0.1550002,150721
46,2020-12-02,0.1550001,0.179911,0.118838,0.1281208,156870
47,2020-12-03,0.1281587,0.1489991,0.1168474,0.12179,121886
48,2020-12-04,0.1246918,0.1296998,0.1099999,0.1099999,71510
49,2020-12-05,0.1098594,0.133,0.1098594,0.1257259,39998
50,2020-12-06,0.1257277,0.1290964,0.118,0.118,14591
51,2020-12-07,0.1186011,0.1186011,0.113,0.113,15515
52,2020-12-08,0.113,0.113,0.098434,0.099,29056
53,2020-12-09,0.099,0.1099999,0.0984337,0.1099999,36061
54,2020-12-10,0.1099999,0.129911,0.0902473,0.0914005,54854
55,2020-12-11,0.095,0.1164888,0.0906269,0.1149107,5582
56,2020-12-12,0.1,0.164,0.1,0.1444,158157
57,2020-12-13,0.1444001,0.1602282,0.1363,0.1486489,42230
58,2020-12-14,0.1413984,0.1549999,0.1413984,0.1483725,6926
59,2020-12-15,0.1499999,0.16,0.1400008,0.1400008,42413
60,2020-12-16,0.141104,0.1540488,0.1300003,0.1300003,33813
61,2020-12-17,0.1463894,0.16,0.1350001,0.1413417,39745
62,2020-12-18,0.144004,0.1599916,0.144004,0.14857,5854
63,2020-12-19,0.1485759,0.1485853,0.1485759,0.1485853,478
64,2020-12-20,0.14857,0.1597988,0.1365983,0.1365983,31973
65,2020-12-21,0.1365983,0.14111,0.1363289,0.1363289,18524
66,2020-12-22,0.1300999,0.1749301,0.1206401,0.1599995,105368
67,2020-12-23,0.130835,0.1561069,0.10999,0.10999,22633
68,2020-12-24,0.10999,0.111,0.1,0.1000001,30772
69,2020-12-25,0.1253319,0.1253319,0.1084507,0.1084507,84
70,2020-12-26,0.1086447,0.1199724,0.1083511,0.119962,18908
71,2020-12-27,0.1199619,0.1219062,0.1020023,0.1020023,1863
72,2020-12-28,0.1029042,0.12189,0.1029035,0.12189,8714
73,2020-12-29,0.1020003,0.1185426,0.09,0.1185288,30019
74,2020-12-30,0.0999929,0.0999929,0.0910001,0.0910001,8021
75,2020-12-31,0.0999867,0.1,0.0999867,0.0999999,10073
76,2021-01-01,0.0999999,0.1098715,0.0976195,0.0983866,5439
77,2021-01-02,0.0983926,0.1099111,0.090099,0.090099,25663
78,2021-01-03,0.1041781,0.1149523,0.0852383,0.114887,19391
79,2021-01-04,0.1098799,0.1098799,0.0850241,0.1049381,27392
80,2021-01-05,0.0982491,0.099433,0.0982491,0.099433,12394
81,2021-01-06,0.0890277,0.1149999,0.081,0.1149999,32234
