,date,open,high,low,close,volume
0,2020-10-13,0.23806,0.23871,0.18022,0.23841,13267.387124949997
1,2020-10-15,0.238,0.25,0.23,0.23,6339.18178362
2,2020-10-21,0.2,0.2,0.18,0.18,93.828213
3,2020-10-26,0.18,0.18,0.166,0.166,294.21772699999997
4,2020-10-27,0.166,0.166,0.166,0.166,49.9002455
5,2020-10-31,0.17119,0.17119,0.17119,0.17119,625.0
6,2020-11-02,0.21,0.21,0.21,0.21,84.482585
7,2020-11-03,0.166,0.166,0.129,0.13442,9411.1920365
8,2020-11-06,0.165,0.165,0.165,0.165,8.0
9,2020-11-07,0.165,0.19,0.165,0.19,6434.401373370001
10,2020-11-08,0.19,0.19,0.19,0.19,25.0
11,2020-11-09,0.15792,0.15792,0.11428,0.11428,3924.7440630600004
12,2020-11-10,0.131,0.131,0.131,0.131,8.0
13,2020-11-11,0.131,0.269,0.131,0.161,9382.67069289
14,2020-11-12,0.16797,0.177,0.16797,0.177,16.0
15,2020-11-13,0.26,0.26,0.25,0.25,420.300422
16,2020-11-14,0.22,0.22,0.22,0.22,1250.0
17,2020-11-16,0.189,0.189,0.187,0.187,110.0
18,2020-11-17,0.24,0.24,0.19121,0.19121,509.970794
19,2020-11-19,0.24,0.24,0.23,0.23,1791.689259
20,2020-11-20,0.228,0.228,0.228,0.228,8.0
21,2020-11-21,0.228,0.228,0.228,0.228,37.140892
22,2020-11-22,0.228,0.276,0.228,0.27499,3003.64392303
23,2020-11-23,0.22649,0.31,0.22649,0.31,6834.55015033
24,2020-11-24,0.329,0.329,0.29611,0.2968,6074.0
25,2020-11-25,0.32893,0.329,0.248,0.25134,1576.0
26,2020-11-26,0.28,0.28,0.28,0.28,389.22
27,2020-11-27,0.28,0.31219,0.28,0.31219,1525.3799999999999
28,2020-11-28,0.27916,0.28,0.248,0.25651,3098.3201843800002
29,2020-11-29,0.31911,0.31911,0.31734,0.31734,464.16000119
30,2020-11-30,0.32,0.32789,0.31685,0.32789,1210.40683447
31,2020-12-01,0.329,0.33,0.25168,0.25168,1108.8829924699999
32,2020-12-02,0.26287,0.26287,0.26287,0.26287,8.0
33,2020-12-03,0.33,0.33,0.33,0.33,10.0
34,2020-12-05,0.27283,0.29,0.27277,0.29,1728.28500794
35,2020-12-06,0.25186,0.25186,0.25186,0.25186,11.04328501
36,2020-12-07,0.252,0.252,0.201,0.223,5722.52729681
37,2020-12-08,0.28609,0.29,0.22878,0.22878,1406.98982458
38,2020-12-09,0.231,0.282,0.231,0.282,2907.216
39,2020-12-10,0.279,0.279,0.2345,0.2345,66.9641559
40,2020-12-11,0.2829,0.3,0.23561,0.23752,2878.92634631
41,2020-12-12,0.25557,0.31213,0.25557,0.31213,2291.4182773800003
42,2020-12-13,0.31,0.33,0.25,0.33,3256.5040077099998
43,2020-12-14,0.37669,0.38159,0.26041,0.26041,69.68565689
44,2020-12-15,0.38348,0.38348,0.38348,0.38348,12.112476
45,2020-12-16,0.38992,0.38992,0.35182,0.35182,114.03878638
46,2020-12-17,0.35401,0.38515,0.35401,0.38515,65.76128638
47,2020-12-18,0.3505,0.40175,0.3505,0.40175,1356.99523961
48,2020-12-19,0.42,0.42,0.35097,0.35097,2901.14492259
49,2020-12-20,0.3544,0.37,0.32501,0.33725,3934.5105573700002
50,2020-12-21,0.32686,0.32686,0.32479,0.32479,97.797684
51,2020-12-22,0.3222,0.32382,0.3222,0.32382,72.911173
52,2020-12-23,0.3222,0.3222,0.29743,0.2988,14096.073794850001
53,2020-12-24,0.30405,0.30405,0.28736,0.28736,206.05173514
54,2020-12-27,0.29858,0.3213,0.29858,0.3213,3615.5088000000005
55,2020-12-28,0.33197,0.38032,0.33197,0.38032,26.7088
56,2020-12-29,0.366,0.37546,0.31271,0.33356,3338.69942614
57,2020-12-30,0.33042,0.3369,0.32,0.32,1672.39637932
58,2020-12-31,0.34952,0.385,0.31947,0.38108,3347.32944031
59,2021-01-02,0.32379,0.33785,0.31271,0.33291,1356.61761542
60,2021-01-03,0.356,0.4085,0.32369,0.32369,13807.610896640002
61,2021-01-04,0.4405,0.45,0.43981,0.43981,4145.33579197
62,2021-01-05,0.404,0.4398,0.3982,0.43278,334.78451984000003
63,2021-01-06,0.43999,0.48,0.42413,0.46011,3429.6733940400004
64,2021-01-07,0.464,0.49999,0.43102,0.47,29336.968922000004
65,2021-01-08,0.43,0.47,0.43,0.47,700.728104
66,2021-01-09,0.45,0.47,0.43,0.44994,4589.060061010001
67,2021-01-10,0.455,0.46978,0.42886,0.42886,2888.89143959
68,2021-01-11,0.39263,0.4471,0.32449,0.32449,11151.294943619998
69,2021-01-12,0.33466,0.43855,0.33466,0.41912,10310.87737
70,2021-01-13,0.36924,0.54,0.36924,0.5335,7869.8740219699985
71,2021-01-14,0.55,0.55,0.52,0.55,1215.038444
72,2021-01-15,0.55,0.59,0.47979,0.48104,1535.5227605999999
73,2021-01-16,0.58,0.69396,0.47482,0.50637,8033.68371545
74,2021-01-17,0.68902,0.68902,0.48966,0.48966,677.85228097
75,2021-01-18,0.6517,0.6517,0.6517,0.6517,8.001448
76,2021-01-19,0.6201,0.63,0.49556,0.49556,28874.81491824
77,2021-01-20,0.61999,0.61999,0.61999,0.61999,35.141618
78,2021-01-21,0.69134,0.69496,0.53069,0.53069,90.860476
79,2021-01-22,0.6396,0.64251,0.5307,0.64251,488.4719
80,2021-01-23,0.66594,0.67,0.66594,0.67,97.214324
81,2021-01-24,0.69617,0.69617,0.54461,0.54461,83.57164943000001
82,2021-01-25,0.68159,0.696,0.5822,0.696,3741.23532897
83,2021-01-26,0.63032,1.813,0.63032,1.375,11130.42905792
84,2021-01-27,1.375,1.8,0.8248,1.05,40487.36750388999
85,2021-01-28,1.05,1.25,0.9,1.249,8550.144152209998
86,2021-01-29,1.2238,1.2696,0.98,1.0166,13140.378584839998
87,2021-01-30,1.17,1.26,1.01,1.0108,9499.18791513
88,2021-01-31,1.183,1.183,0.92,0.943,1375.49377696
89,2021-02-01,0.943,0.943,0.69859,0.78901,15234.5645824
90,2021-02-02,0.81,0.8599,0.5,0.63452,7797.877737160001
91,2021-02-03,0.56032,0.8599,0.56031,0.78752,2526.02367057
92,2021-02-04,0.78938,0.78938,0.65219,0.65219,996.14752586
93,2021-02-05,0.65003,0.8,0.65003,0.79999,2230.50283832
94,2021-02-06,0.8,0.832,0.70977,0.70977,9982.80688903
95,2021-02-07,0.67547,0.82153,0.67547,0.82153,1086.28482147
96,2021-02-08,0.71,0.78,0.625,0.74397,14149.786918950002
97,2021-02-09,0.63452,0.816,0.625,0.66987,9204.64065027
98,2021-02-10,0.69328,0.8599,0.67124,0.8599,2761.9079132700003
99,2021-02-11,0.8,0.96981,0.67133,0.79,11660.65227552
100,2021-02-12,0.6958,0.86089,0.65842,0.8,8256.589052949997
101,2021-02-13,0.85467,0.90991,0.6625,0.72577,10723.538353320002
102,2021-02-14,0.72568,0.7845,0.67,0.745,5897.640573729999
103,2021-02-15,0.73911,0.745,0.65,0.65432,3831.5142386
104,2021-02-16,0.73489,0.73489,0.5981,0.5981,5498.981751480001
105,2021-02-17,0.64489,0.745,0.55851,0.74478,7603.33081207
106,2021-02-18,0.61386,0.7,0.61386,0.65103,550.28651358
107,2021-02-19,0.68,0.73661,0.639,0.63901,5416.804824
108,2021-02-20,0.63901,0.7273,0.59,0.5951,4504.50704306
109,2021-02-21,0.5951,0.689,0.543,0.56512,3086.0921399500007
110,2021-02-22,0.66001,0.66001,0.503,0.51703,6118.225420580001
111,2021-02-23,0.61601,0.62151,0.461,0.57378,17428.461768830002
112,2021-02-24,0.59378,0.69,0.58,0.69,2646.8878766899998
113,2021-02-25,0.69,0.69,0.605,0.69,982.6024633999999
114,2021-02-26,0.60653,0.60653,0.4901,0.53905,3085.0117765600007
115,2021-02-28,0.50503,0.60275,0.50503,0.59989,118.8
116,2021-03-01,0.6369,0.6369,0.52613,0.53003,1621.14463539
117,2021-03-02,0.63489,0.68,0.551,0.55614,887.58701821
118,2021-03-03,0.678,0.67899,0.48044,0.55845,18033.575993510007
119,2021-03-04,0.62,0.62873,0.52651,0.59748,12066.803102160002
120,2021-03-05,0.5996,0.6334,0.55111,0.61989,3072.7576324000006
121,2021-03-06,0.55414,0.55414,0.55112,0.55112,599.54621797
122,2021-03-07,0.55112,0.60989,0.55112,0.55114,656.5179354
123,2021-03-08,0.60419,0.63999,0.60419,0.60999,325.36177046000006
124,2021-03-09,0.60999,0.7019,0.60999,0.68022,5146.409786679999
125,2021-03-10,0.72998,0.73269,0.62126,0.63419,446.74138956999997
126,2021-03-11,0.73331,0.795,0.60928,0.65,7006.30839579
127,2021-03-12,0.69802,0.77,0.60511,0.64533,3924.5835494199996
128,2021-03-13,0.7864,0.79,0.6324,0.63516,514.937008
129,2021-03-14,0.82,0.82,0.64,0.64644,2012.9061370000006
130,2021-03-15,0.73889,0.745,0.67114,0.67115,778.500444
131,2021-03-16,0.71122,0.847,0.71122,0.82489,2177.90637974
132,2021-03-17,0.7226,0.875,0.70302,0.7595,8616.76828719
133,2021-03-18,0.81291,0.89741,0.81291,0.84576,539.829806
134,2021-03-19,0.89741,0.92,0.85,0.85,6233.0000698
135,2021-03-20,0.85,0.92,0.85,0.92,147.21964363
136,2021-03-21,0.86434,0.99,0.79275,0.80112,13413.3543973
