,date,open,high,low,close,volume
0,2021-09-16,106.0,114.99,98.71,102.31,138020.43599999964
1,2021-09-17,102.36,103.19,88.44,93.48,68495.99600000054
2,2021-09-18,93.5,98.01,92.01,95.56,17751.96200000005
3,2021-09-19,95.28,95.82,90.68,92.49,8633.382000000012
4,2021-09-20,92.4,92.82,74.71,75.97,19436.715999999924
5,2021-09-21,76.01,79.11,66.89,68.48,15110.628000000059
6,2021-09-22,68.73,79.16,67.02,78.82,6541.960000000011
7,2021-09-23,78.93,79.63,74.0,78.41,7933.66800000003
8,2021-09-24,78.4,78.77,64.37,67.94,14503.836000000067
9,2021-09-25,68.11,69.9,65.26,67.77,8961.047
10,2021-09-26,67.74,70.0,61.0,66.06,9076.489
11,2021-09-27,65.72,75.0,64.5,65.41,10641.543000000014
12,2021-09-28,65.16,67.5,62.46,63.12,8824.664000000083
13,2021-09-29,63.11,67.51,62.56,65.12,5213.969000000067
14,2021-09-30,65.09,69.79,64.79,68.87,3930.099
15,2021-10-01,69.18,75.45,68.09,75.35,5718.213000000032
16,2021-10-02,75.46,78.14,73.12,75.06,4552.045
17,2021-10-03,75.35,80.53,73.43,77.94,4000.953000000043
18,2021-10-04,77.72,77.86,71.99,75.42,7008.165000000054
19,2021-10-05,75.11,78.81,74.26,77.98,5013.745999999999
20,2021-10-06,78.14,82.6,71.16,78.99,7425.321000000005
21,2021-10-07,79.14,81.43,75.48,78.31,10334.438000000018
22,2021-10-08,78.54,86.98,77.32,78.08,10530.828999999985
23,2021-10-09,78.18,81.73,76.92,80.17,7048.895000000019
24,2021-10-10,79.8,80.23,73.97,74.54,3575.458
25,2021-10-11,74.27,78.0,72.46,74.59,6773.357000000016
26,2021-10-12,74.57,74.66,69.24,72.49,7242.989000000015
27,2021-10-13,72.6,75.08,69.98,73.25,6118.51899999994
28,2021-10-14,73.3,80.0,71.0,77.9,11620.600999999975
29,2021-10-15,77.63,79.5,74.1,78.59,4600.367000000041
30,2021-10-16,78.61,82.93,78.13,78.87,7899.983999999978
31,2021-10-17,78.77,79.43,73.33,79.01,11063.374999999982
32,2021-10-18,79.43,81.9,75.88,78.8,15553.722000000022
33,2021-10-19,78.99,84.0,76.69,77.65,17290.00499999999
34,2021-10-20,77.72,83.75,77.63,82.84,8337.389999999961
35,2021-10-21,83.03,87.9,80.66,86.25,17423.026999999925
36,2021-10-22,86.31,88.71,84.4,87.38,8708.607999999991
37,2021-10-23,87.42,91.92,86.53,88.98,9092.730999999982
38,2021-10-24,89.05,94.61,88.28,91.39,12277.69100000006
39,2021-10-25,91.22,93.26,88.68,89.62,8359.750000000002
40,2021-10-26,89.56,89.56,83.57,85.17,17617.66800000024
41,2021-10-27,85.27,86.32,70.2,74.15,19810.825000000194
42,2021-10-28,74.13,76.98,72.09,76.2,6287.046000000031
43,2021-10-29,75.94,79.38,75.13,78.79,7964.300000000026
44,2021-10-30,78.69,78.88,74.53,78.15,6251.9560000000265
45,2021-10-31,78.11,129.9,77.3,87.78,264764.5320000223
46,2021-11-01,87.91,92.0,80.0,86.66,44057.00699999984
47,2021-11-02,86.89,91.12,84.21,85.34,25321.086999999698
48,2021-11-03,85.01,87.3,80.02,85.9,20893.790000000125
49,2021-11-04,85.9,91.23,81.89,84.74,20403.47600000001
50,2021-11-05,84.84,88.95,83.47,85.7,10547.230000000036
51,2021-11-06,85.62,87.04,80.5,83.43,6195.5310000000245
52,2021-11-07,83.33,85.93,81.98,84.88,9320.190000000006
53,2021-11-08,84.83,94.0,83.45,91.22,27833.936999999478
54,2021-11-09,91.02,109.75,89.25,103.08,65426.67400000058
55,2021-11-10,103.09,103.85,86.0,93.12,30166.98899999999
56,2021-11-11,93.07,115.8,90.59,105.49,48655.14600000113
57,2021-11-12,105.33,107.37,94.54,100.44,22335.264000000236
58,2021-11-13,100.23,103.65,93.95,95.79,14094.253000000102
59,2021-11-14,95.83,96.92,91.7,95.97,8280.726
60,2021-11-15,95.89,101.7,92.08,93.91,10121.630999999845
61,2021-11-16,93.83,93.86,80.5,83.95,12689.5429999999
62,2021-11-17,83.88,86.4,80.4,86.38,7421.119999999964
63,2021-11-18,86.5,92.38,80.89,82.64,16573.87999999999
64,2021-11-19,82.56,90.71,80.24,89.24,11056.657999999943
65,2021-11-20,89.28,98.19,89.2,95.65,18325.83400000022
66,2021-11-21,95.62,115.39,93.9,114.06,47966.88499999941
67,2021-11-22,114.15,114.89,99.5,102.47,50656.3609999995
68,2021-11-23,102.27,112.0,99.65,109.68,47913.84199999923
69,2021-11-24,110.28,129.33,108.03,126.79,82163.98600000246
70,2021-11-25,126.95,133.62,117.25,132.8,54029.38700000017
71,2021-11-26,132.89,137.91,103.16,104.58,51646.99699999981
72,2021-11-27,104.7,115.1,103.52,107.34,26411.548999999854
73,2021-11-28,107.1,110.58,97.09,107.41,23688.04399999963
74,2021-11-29,107.2,120.05,105.73,117.04,33509.875000000226
75,2021-11-30,117.04,124.15,111.16,116.36,38001.12999999964
76,2021-12-01,116.53,118.62,106.33,107.92,20858.144999999924
77,2021-12-02,107.88,107.88,100.42,102.84,21649.669999999714
78,2021-12-03,102.9,108.93,88.99,94.14,22830.92599999977
79,2021-12-04,94.13,94.15,64.35,80.32,63066.16100000019
80,2021-12-05,80.33,94.98,73.25,74.2,15454.106000000274
81,2021-12-06,74.19,108.0,68.0,104.74,29124.348999999118
82,2021-12-07,104.81,104.83,80.06,84.24,49162.10800000029
83,2021-12-08,84.33,94.25,75.94,76.71,18920.843999999855
84,2021-12-09,76.86,83.34,69.15,70.58,18898.71599999976
85,2021-12-10,70.18,74.11,65.34,65.51,14793.481000000005
86,2021-12-11,65.51,68.83,64.15,68.45,11764.268000000064
87,2021-12-12,68.5,70.5,66.6,69.0,12550.994999999984
88,2021-12-13,68.84,69.4,58.73,59.5,20972.852999999694
89,2021-12-14,59.57,61.38,57.75,60.44,21144.408000000578
90,2021-12-15,60.47,68.93,57.09,66.95,25970.545999999988
91,2021-12-16,66.98,72.48,66.42,67.59,23773.520000000008
92,2021-12-17,67.62,69.7,63.9,65.97,13310.601999999924
93,2021-12-18,66.06,68.15,64.58,65.39,8564.481999999993
94,2021-12-19,65.4,69.57,64.79,65.52,8365.738000000021
95,2021-12-20,65.5,65.65,59.69,61.49,11844.617000000106
96,2021-12-21,61.65,64.95,60.74,64.37,9936.930999999957
97,2021-12-22,64.3,70.59,64.07,67.98,15233.769000000273
98,2021-12-23,68.1,72.79,65.59,72.45,16391.582000000075
99,2021-12-24,72.52,76.01,68.94,70.53,11342.646000000103
100,2021-12-25,70.42,72.45,69.89,70.77,6434.277999999968
101,2021-12-26,70.78,71.38,67.08,70.3,6748.444999999991
102,2021-12-27,70.45,74.22,70.19,70.72,9101.589000000027
103,2021-12-28,70.81,70.81,62.91,63.32,16699.88000000063
104,2021-12-29,63.35,64.55,60.05,61.88,10966.482000000346
105,2021-12-30,61.89,63.46,60.0,61.58,9878.508000000124
106,2021-12-31,61.56,65.06,59.22,60.57,9078.210999999843
107,2022-01-01,60.46,64.17,60.46,63.94,12647.585000000268
108,2022-01-02,63.98,65.39,62.18,65.06,8342.321999999975
109,2022-01-03,65.06,66.66,61.87,63.44,7701.189999999886
110,2022-01-04,63.5,66.82,61.99,64.42,12484.651000000242
